seed,input_mode,accuracy,balanced_accuracy,macro_f1,test_loss
11,rgb,0.6686131386861314,0.7157885945462334,0.5280628973233275,0.8052456716551398
11,rgb_mask_reverse_mask,0.6437956204379562,0.6671541874492353,0.49103373016378055,0.9091882140967098
23,rgb,0.7489051094890511,0.7284882869944115,0.5939113944471688,0.6622964891203998
23,rgb_mask_reverse_mask,0.7255474452554744,0.596133097560144,0.4961062390533641,0.7258966860980013
41,rgb,0.8277372262773722,0.6887879825987389,0.6500719264804741,0.47604099398981914
41,rgb_mask_reverse_mask,0.8394160583941606,0.7356385920672498,0.6413954964891949,0.46067660442233954
57,rgb,0.7751824817518248,0.736889853354711,0.48797440925835306,0.5974955430866158
57,rgb_mask_reverse_mask,0.7635036496350365,0.7109055155926919,0.4567277448599832,0.5306304411296426
73,rgb,0.7883211678832117,0.7510606024805,0.6164233076530229,0.5404430171869097
73,rgb_mask_reverse_mask,0.6875912408759124,0.5803457199881757,0.45411463824893566,0.9441480850651316
89,rgb,0.6817518248175183,0.6724382198778768,0.5027036126919944,0.754238503692794
89,rgb_mask_reverse_mask,0.4583941605839416,0.5369483925591082,0.3190429978484248,2.305832362349016
101,rgb,0.8233576642335766,0.7688244926488418,0.5421429714844967,0.4985152614812781
101,rgb_mask_reverse_mask,0.710948905109489,0.6642375850123964,0.47580659323521696,0.6601555213440944
131,rgb,0.7065693430656934,0.5930528792094586,0.5275829241825035,0.9324369527997761
131,rgb_mask_reverse_mask,0.7124087591240876,0.647682022000701,0.5444605990395163,0.7871918958469029
151,rgb,0.691970802919708,0.687914949534464,0.5584157418008099,0.9781085223177054
151,rgb_mask_reverse_mask,0.5547445255474452,0.5832426026469171,0.35607142287141186,1.3674671472424138
181,rgb,0.7343065693430657,0.709867818111269,0.535568176975647,0.6503013950194756
181,rgb_mask_reverse_mask,0.8145985401459854,0.7647415142279629,0.5361057445547797,0.537779636539682
