scope,model,seed,fold,image_count,class_coverage,source_group_count,accuracy,source_macro_accuracy,balanced_accuracy,macro_f1,cross_entropy_loss,test_loss
aggregate_oof,DINOv2,11,-1,5000,8,10,0.7506,0.7556033733272022,0.7505999999999999,0.7497728556700372,0.6793960393388799,0.6793960393388799
fold,DINOv2,11,0,401,6,1,0.8728179551122195,0.8728179551122195,0.8629203675772302,0.6122252826105807,0.43038699030026445,0.43038699030026445
fold,DINOv2,11,1,284,6,1,0.7922535211267606,0.7922535211267606,0.6307998295421149,0.453470515970516,0.489052197252789,0.489052197252789
fold,DINOv2,11,2,740,7,1,0.7445945945945946,0.7445945945945946,0.8072722530705724,0.5993602064085699,0.701005551137442,0.701005551137442
fold,DINOv2,11,3,381,6,1,0.8293963254593176,0.8293963254593176,0.7359296526892615,0.5489718133094044,0.42240635317582115,0.42240635317582115
fold,DINOv2,11,4,661,7,1,0.7397881996974282,0.7397881996974282,0.7681181136804275,0.6275659983580777,0.5948857536261806,0.5948857536261806
fold,DINOv2,11,5,1061,8,1,0.7700282752120641,0.7700282752120641,0.7757318993707937,0.6541215191083994,0.5981078714039088,0.5981078714039088
fold,DINOv2,11,6,503,7,1,0.7395626242544732,0.7395626242544732,0.7327791094623822,0.5467579968563923,0.8340037068830745,0.8340037068830745
fold,DINOv2,11,7,389,6,1,0.4498714652956298,0.4498714652956298,0.730565755885184,0.4386966205036022,1.5808998500241618,1.5808998500241618
fold,DINOv2,11,8,342,6,1,0.7017543859649122,0.7017543859649122,0.7504240951409632,0.5336824674994074,0.8015063307992738,0.8015063307992738
fold,DINOv2,11,9,238,7,1,0.9159663865546218,0.9159663865546218,0.896733082854839,0.7892637118788887,0.29169014748368344,0.29169014748368344
aggregate_oof,DINOv2,23,-1,5000,8,10,0.7574,0.759817872422549,0.7574,0.7565137020775747,0.6594178926804373,0.6594178926804373
fold,DINOv2,23,0,401,6,1,0.9201995012468828,0.9201995012468828,0.9072227110217307,0.5960200853530281,0.2904608947403503,0.2904608947403503
fold,DINOv2,23,1,284,6,1,0.7992957746478874,0.7992957746478874,0.6357348792100158,0.4096628109958818,0.5098720544727033,0.5098720544727033
fold,DINOv2,23,2,740,7,1,0.7445945945945946,0.7445945945945946,0.8052619195476339,0.6000813322816342,0.719376995834866,0.719376995834866
fold,DINOv2,23,3,381,6,1,0.7952755905511811,0.7952755905511811,0.73367963634779,0.5489221336427942,0.5701065699412707,0.5701065699412707
fold,DINOv2,23,4,661,7,1,0.7337367624810892,0.7337367624810892,0.7433866702920824,0.6053784966006843,0.5998939480804524,0.5998939480804524
fold,DINOv2,23,5,1061,8,1,0.7964184731385485,0.7964184731385485,0.8513265152353358,0.7549601752343742,0.5639289371070411,0.5639289371070411
fold,DINOv2,23,6,503,7,1,0.7435387673956262,0.7435387673956262,0.7374209662050794,0.5414887926281043,0.8248755681018961,0.8248755681018961
fold,DINOv2,23,7,389,6,1,0.46786632390745503,0.46786632390745503,0.7387774060657462,0.45318428953246603,1.3668403848200765,1.3668403848200765
fold,DINOv2,23,8,342,6,1,0.6812865497076024,0.6812865497076024,0.7342099171620794,0.5209659238220031,0.8256266793258906,0.8256266793258906
fold,DINOv2,23,9,238,7,1,0.9159663865546218,0.9159663865546218,0.9015384319240735,0.7946952513484771,0.2622909846393496,0.2622909846393496
aggregate_oof,DINOv2,41,-1,5000,8,10,0.7534,0.7611699581530602,0.7534,0.7531297953869562,0.6708990781049163,0.6708990781049163
fold,DINOv2,41,0,401,6,1,0.9276807980049875,0.9276807980049875,0.9164662588682196,0.6007686789437361,0.3063343888486459,0.3063343888486459
fold,DINOv2,41,1,284,6,1,0.7922535211267606,0.7922535211267606,0.6307851348968435,0.45236940534664094,0.5185663557903955,0.5185663557903955
fold,DINOv2,41,2,740,7,1,0.7054054054054054,0.7054054054054054,0.7799988413433792,0.5501576630817956,0.8068186876862807,0.8068186876862807
fold,DINOv2,41,3,381,6,1,0.8188976377952756,0.8188976377952756,0.7647314960072338,0.5597512334768732,0.47894791281359567,0.47894791281359567
fold,DINOv2,41,4,661,7,1,0.7246596066565809,0.7246596066565809,0.7385124564556046,0.6098449856864988,0.6094129439426639,0.6094129439426639
fold,DINOv2,41,5,1061,8,1,0.7822808671065034,0.7822808671065034,0.7589909975635449,0.6567534248376248,0.5725757914108615,0.5725757914108615
fold,DINOv2,41,6,503,7,1,0.7594433399602386,0.7594433399602386,0.7469289758804442,0.5620847317164448,0.8626013859986675,0.8626013859986675
fold,DINOv2,41,7,389,6,1,0.4987146529562982,0.4987146529562982,0.7549432091745544,0.4655858061876521,1.2657350372490708,1.2657350372490708
fold,DINOv2,41,8,342,6,1,0.6695906432748538,0.6695906432748538,0.7087405137889508,0.5123944741980175,0.8857950782987787,0.8857950782987787
fold,DINOv2,41,9,238,7,1,0.9327731092436975,0.9327731092436975,0.9162895955474176,0.8051208741630779,0.2745010832922229,0.2745010832922229
aggregate_oof,DINOv2,57,-1,5000,8,10,0.7502,0.761253348115954,0.7502,0.7458134355640722,0.6887434082903746,0.6887434082903746
fold,DINOv2,57,0,401,6,1,0.9201995012468828,0.9201995012468828,0.9200289089994973,0.6166434860040422,0.2912728083264302,0.2912728083264302
fold,DINOv2,57,1,284,6,1,0.8063380281690141,0.8063380281690141,0.6370744430729443,0.4580767695211493,0.4863640346752274,0.4863640346752274
fold,DINOv2,57,2,740,7,1,0.7148648648648649,0.7148648648648649,0.7674863595031661,0.5365658710466483,0.7026085869606375,0.7026085869606375
fold,DINOv2,57,3,381,6,1,0.8241469816272966,0.8241469816272966,0.7258728388404091,0.5429413406763943,0.4570504551422977,0.4570504551422977
fold,DINOv2,57,4,661,7,1,0.7700453857791225,0.7700453857791225,0.7830202471587774,0.6504931045159587,0.5470191947120007,0.5470191947120007
fold,DINOv2,57,5,1061,8,1,0.7351555136663525,0.7351555136663525,0.706633243685463,0.6212086607094323,0.7985479239897197,0.7985479239897197
fold,DINOv2,57,6,503,7,1,0.7634194831013916,0.7634194831013916,0.7530868935929836,0.563740795796995,0.830146554514136,0.830146554514136
fold,DINOv2,57,7,389,6,1,0.4473007712082262,0.4473007712082262,0.7130029767748914,0.43872179945466716,1.4096547447848429,1.4096547447848429
fold,DINOv2,57,8,342,6,1,0.7192982456140351,0.7192982456140351,0.7598470376234282,0.5403403280814325,0.7408699048236191,0.7408699048236191
fold,DINOv2,57,9,238,7,1,0.9117647058823529,0.9117647058823529,0.8969301369931977,0.7908829346329347,0.27977616199918487,0.27977616199918487
aggregate_oof,DINOv2,73,-1,5000,8,10,0.7626,0.7623504450359135,0.7626,0.761909350341575,0.6666731610929506,0.6666731610929506
fold,DINOv2,73,0,401,6,1,0.912718204488778,0.912718204488778,0.9055747583933859,0.608084376609461,0.3376408531453057,0.3376408531453057
fold,DINOv2,73,1,284,6,1,0.8063380281690141,0.8063380281690141,0.6370744430729443,0.4575874482670925,0.5147022317730618,0.5147022317730618
fold,DINOv2,73,2,740,7,1,0.7040540540540541,0.7040540540540541,0.7729423578163074,0.5564437229137535,0.81110547046507,0.81110547046507
fold,DINOv2,73,3,381,6,1,0.8267716535433071,0.8267716535433071,0.7500064684990903,0.554746972486603,0.4176438755756874,0.4176438755756874
