model,seed,label,class_name,image_count,source_group_count,accuracy
DINOv2,11,0,01_TUMOR,625,10,0.9024
DINOv2,11,1,02_STROMA,625,10,0.6688
DINOv2,11,2,03_COMPLEX,625,10,0.5824
DINOv2,11,3,04_LYMPHO,625,10,0.7184
DINOv2,11,4,05_DEBRIS,625,10,0.464
DINOv2,11,5,06_MUCOSA,625,8,0.9312
DINOv2,11,6,07_ADIPOSE,625,6,0.9712
DINOv2,11,7,08_EMPTY,625,2,0.7664
DINOv2,23,0,01_TUMOR,625,10,0.8864
DINOv2,23,1,02_STROMA,625,10,0.6672
DINOv2,23,2,03_COMPLEX,625,10,0.6256
DINOv2,23,3,04_LYMPHO,625,10,0.7536
DINOv2,23,4,05_DEBRIS,625,10,0.472
DINOv2,23,5,06_MUCOSA,625,8,0.9328
DINOv2,23,6,07_ADIPOSE,625,6,0.968
DINOv2,23,7,08_EMPTY,625,2,0.7536
DINOv2,41,0,01_TUMOR,625,10,0.888
DINOv2,41,1,02_STROMA,625,10,0.6144
DINOv2,41,2,03_COMPLEX,625,10,0.6544
DINOv2,41,3,04_LYMPHO,625,10,0.7088
DINOv2,41,4,05_DEBRIS,625,10,0.4688
DINOv2,41,5,06_MUCOSA,625,8,0.936
DINOv2,41,6,07_ADIPOSE,625,6,0.9568
DINOv2,41,7,08_EMPTY,625,2,0.8
DINOv2,57,0,01_TUMOR,625,10,0.8912
DINOv2,57,1,02_STROMA,625,10,0.6528
DINOv2,57,2,03_COMPLEX,625,10,0.6912
DINOv2,57,3,04_LYMPHO,625,10,0.7648
DINOv2,57,4,05_DEBRIS,625,10,0.4064
DINOv2,57,5,06_MUCOSA,625,8,0.9264
DINOv2,57,6,07_ADIPOSE,625,6,0.9744
DINOv2,57,7,08_EMPTY,625,2,0.6944
DINOv2,73,0,01_TUMOR,625,10,0.888
DINOv2,73,1,02_STROMA,625,10,0.6496
DINOv2,73,2,03_COMPLEX,625,10,0.6656
DINOv2,73,3,04_LYMPHO,625,10,0.7344
DINOv2,73,4,05_DEBRIS,625,10,0.4368
DINOv2,73,5,06_MUCOSA,625,8,0.9376
