model,class_name,correct,target_role,images,mean_occlusion_spearman,mean_top_minus_random_logit_auc,mean_top_minus_random_margin_auc
DINOv2,01_TUMOR,False,predicted,7,0.04003105565314206,-0.3425847908215863,-0.71632238090637
DINOv2,01_TUMOR,False,true,7,0.06442977927490515,0.4847159181854555,0.40240505454795705
DINOv2,01_TUMOR,True,predicted,27,-0.10388922977755463,0.13061574916010385,0.13886362059317803
DINOv2,02_STROMA,False,predicted,11,0.14201128820418163,-0.2931229598142884,-0.37341662509874857
DINOv2,02_STROMA,False,true,11,0.08935084911351775,-0.4305907437577845,-0.47844960664144964
DINOv2,02_STROMA,True,predicted,23,0.10132400266163125,-0.08894965933716818,-0.1907161020633319
DINOv2,03_COMPLEX,False,predicted,16,0.06125248029707783,-0.2894535966450348,-0.42772601996548465
DINOv2,03_COMPLEX,False,true,16,0.10479165504546215,-0.31026158430613576,-0.44199564615264536
DINOv2,03_COMPLEX,True,predicted,18,0.05404085882693569,-0.32478536511253986,-0.6180773910548951
DINOv2,04_LYMPHO,False,predicted,9,0.09755482508106579,-0.3153240677383211,-0.1833167688300212
DINOv2,04_LYMPHO,False,true,9,0.12899227112425082,-0.8682864250201318,-0.8590930326707166
DINOv2,04_LYMPHO,True,predicted,25,0.04487003641753459,-0.2605255343019963,-0.44911281859129665
DINOv2,05_DEBRIS,False,predicted,11,0.006682367668589539,-0.24961025051095262,-0.3438527734272859
DINOv2,05_DEBRIS,False,true,11,-0.1022225055582561,-0.021433204497125994,-0.07394518474624917
DINOv2,05_DEBRIS,True,predicted,23,-0.12822921946735674,-0.048219899379688666,-0.16186283722762834
DINOv2,06_MUCOSA,False,predicted,5,0.19690203922256133,-0.4125129935890436,-0.4666195953730493
DINOv2,06_MUCOSA,False,true,5,0.17886157901134592,-0.6082369311898946,-0.567924090763554
DINOv2,06_MUCOSA,True,predicted,29,0.21010698529892882,-0.6305285927711118,-0.9355813935655972
DINOv2,07_ADIPOSE,False,predicted,6,0.007774386599622272,-0.29459099819262824,0.005949386209249524
DINOv2,07_ADIPOSE,False,true,6,0.10289534009621028,-0.32104631147036944,-0.08620862364768989
DINOv2,07_ADIPOSE,True,predicted,28,0.05112721976926019,-0.9657275302269096,-1.450759980022641
DINOv2,08_EMPTY,False,predicted,8,0.11503079951230784,-0.6749075243249536,-1.0385141456965359
DINOv2,08_EMPTY,False,true,8,0.04537190510722053,0.7436267829267308,1.2119306010563378
DINOv2,08_EMPTY,True,predicted,26,0.10435435039663297,-0.0946402480969062,0.24261875174796352
ResNet18,01_TUMOR,False,predicted,7,-0.08676094548130342,0.3781105866389615,0.5549668253532477
ResNet18,01_TUMOR,False,true,7,0.16590352941105735,-0.28297595406350273,-0.36445072277316015
ResNet18,01_TUMOR,True,predicted,27,0.1268259955290529,0.8783814177744917,1.1775068861716944
ResNet18,02_STROMA,False,predicted,13,0.20794173194463259,0.39572093791973134,0.4688867078771671
ResNet18,02_STROMA,False,true,13,0.09871361822343366,-0.27563368060017146,-0.7084042203540986
ResNet18,02_STROMA,True,predicted,21,0.0736116009300685,0.3323190214644586,0.5014241691146578
ResNet18,03_COMPLEX,False,predicted,12,0.051626509260904646,0.43920267280191183,0.4642357350889749
ResNet18,03_COMPLEX,False,true,12,0.1642134699928304,-0.3330099620701124,-0.7434277753035228
ResNet18,03_COMPLEX,True,predicted,22,0.0988784768417433,0.4423071462872692,0.6640270977873693
ResNet18,04_LYMPHO,False,predicted,7,0.08361233710865949,0.5228232578241399,0.9844491818919777
ResNet18,04_LYMPHO,False,true,7,0.2523932209771789,-1.1706977994580352,-1.6044778953705516
ResNet18,04_LYMPHO,True,predicted,27,0.08994986427908834,-0.28635318102659996,-0.4464702975694781
ResNet18,05_DEBRIS,False,predicted,7,0.04309808457238345,0.5439702183008193,0.26371589632970954
ResNet18,05_DEBRIS,False,true,7,0.36882937361485757,0.32927107411835876,-0.36442724338599614
ResNet18,05_DEBRIS,True,predicted,27,-0.019950697951254953,1.2354409855755943,1.6788207414732486
ResNet18,06_MUCOSA,False,predicted,4,0.08229705930940966,-0.16387608163058767,0.06956717316061262
ResNet18,06_MUCOSA,False,true,4,-0.07304655880139105,0.004512147977948171,0.0510219864547254
ResNet18,06_MUCOSA,True,predicted,30,0.15605774852544887,1.142262638968726,1.4340875474433414
ResNet18,07_ADIPOSE,False,predicted,8,0.04625436457061773,0.40747234048321845,0.20438784267753365
ResNet18,07_ADIPOSE,False,true,8,0.16343211810626435,-0.13807962068822238,-1.009687089547515
ResNet18,07_ADIPOSE,True,predicted,26,-0.04598974963787816,0.5898810068002114,0.5238682603069508
ResNet18,08_EMPTY,False,predicted,7,-0.03780866393525674,0.8685861395938056,-0.2580449748518211
ResNet18,08_EMPTY,False,true,7,-0.00013076585461775845,0.666575460774558,-0.58702742010355
ResNet18,08_EMPTY,True,predicted,27,-0.1821817051693774,1.0964263610127898,0.3561566074344295
UNI,01_TUMOR,False,predicted,6,0.17574740946749648,-0.5762243981162708,-0.8137197822332384
UNI,01_TUMOR,False,true,6,0.20496404731357598,-0.70250021747003,-0.7664571123818557
UNI,01_TUMOR,True,predicted,28,0.15679086395674818,-0.5621361380176885,-0.6247056540900043
UNI,02_STROMA,False,predicted,8,0.12833694586776528,-0.6136101853102445,-0.6887819640338421
UNI,02_STROMA,False,true,8,0.12320063909984141,-0.5045469738040993,-0.48137599704787126
UNI,02_STROMA,True,predicted,26,0.2355059009156181,-0.7565179857604493,-0.9621611980864635
UNI,03_COMPLEX,False,predicted,8,0.20372164094064021,-0.5262881781905888,-0.6469064878299832
UNI,03_COMPLEX,False,true,8,0.14008737817657324,-0.5419907005969435,-0.6626073205843568
UNI,03_COMPLEX,True,predicted,26,0.11730589932185291,-0.6892880679538044,-0.9041522453037593
UNI,04_LYMPHO,False,predicted,9,0.17384772990284234,-0.5705646365880965,-0.7768462316857444
UNI,04_LYMPHO,False,true,9,0.20423126949595405,-0.6865659686219361,-0.6621629317601523
UNI,04_LYMPHO,True,predicted,25,0.13345577956408636,-0.38250887596607197,-0.35483786499500275
UNI,05_DEBRIS,False,predicted,7,0.08368428422297684,-0.49675954495157504,-0.7692148205957243
UNI,05_DEBRIS,False,true,7,0.17170497584876535,-0.29065845321331707,-0.4295591284121786
UNI,05_DEBRIS,True,predicted,27,0.16488227167899636,-0.4023402317254631,-0.4846967286671752
UNI,06_MUCOSA,False,predicted,3,0.09938347849877939,-0.4927472944060962,-0.7052469371818008
UNI,06_MUCOSA,False,true,3,0.2644407079504976,-1.4992381803691386,-1.8476732656359676
UNI,06_MUCOSA,True,predicted,31,0.2575519475872336,-0.8285082414866455,-1.122634844818423
UNI,07_ADIPOSE,False,predicted,5,0.3661391835140929,-0.2164733678102495,-0.22501206457614895
UNI,07_ADIPOSE,False,true,5,0.1596662655690937,-0.20157814085483544,-0.14867997825145726
UNI,07_ADIPOSE,True,predicted,29,0.04300803866976568,-0.9513269867394762,-1.9545994955725194
UNI,08_EMPTY,False,predicted,9,0.37041511385238723,-0.3458413389925327,-1.7421700441175036
UNI,08_EMPTY,False,true,9,-0.1622842551051398,1.3760381712882213,1.6146978246048092
UNI,08_EMPTY,True,predicted,25,0.18200764994745658,-0.17373602482676503,-0.22604346019029614
