cohort_id,path,case_id,class_name,true_class,model,fold,cohort_stratum,seed_count,correct_rate_across_seeds,all_seeds_correct,any_seed_incorrect,modal_prediction_agreement,pairwise_prediction_agreement,mean_predicted_class_spearman_same_prediction,mean_common_true_class_spearman
00fdaf01f42318eb,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/03_COMPLEX/10BA2_CRC-Prim-HE-09_028.tif_Row_1_Col_151.tif,CRC-Prim-HE-09,03_COMPLEX,2,ResNet18,8,incorrect_any_model,10,0.3,False,True,0.7,0.5333333333333333,0.688036003155655,0.5885820536726992
0182d47bc6239a0a,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/04_LYMPHO/5945_CRC-Prim-HE-10c.tif_Row_1_Col_151.tif,CRC-Prim-HE-10,04_LYMPHO,3,ResNet18,9,correct_high_confidence,10,1.0,True,False,1.0,1.0,0.7687996380382167,0.7687996380382167
055885cb26f57d55,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/05_DEBRIS/10713_CRC-Prim-HE-09_004.tif_Row_301_Col_1.tif,CRC-Prim-HE-09,05_DEBRIS,4,ResNet18,8,incorrect_any_model,10,0.9,False,True,0.9,0.8,0.7373268343194975,0.7336237952030108
0563036f6d233d97,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/04_LYMPHO/58BD_CRC-Prim-HE-08_011.tif_Row_301_Col_1.tif,CRC-Prim-HE-08,04_LYMPHO,3,ResNet18,7,correct_high_confidence,10,1.0,True,False,1.0,1.0,0.7386707467055545,0.7386707467055545
05911fcf995a92b8,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/08_EMPTY/145CC_CRC-Prim-HE-06_005.tif_Row_4351_Col_6151.tif,CRC-Prim-HE-06,08_EMPTY,7,ResNet18,5,incorrect_any_model,10,0.5,False,True,0.5,0.4444444444444444,0.9019122791639109,0.5956349250620463
05ec55e971259ba8,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/04_LYMPHO/8D82_CRC-Prim-HE-01_005.tif_Row_301_Col_601.tif,CRC-Prim-HE-01,04_LYMPHO,3,ResNet18,0,correct_high_confidence,10,1.0,True,False,1.0,1.0,0.7933132139944254,0.7933132139944254
061bb79d23160ee1,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/03_COMPLEX/659E_CRC-Prim-HE-06_028.tif_Row_151_Col_601.tif,CRC-Prim-HE-06,03_COMPLEX,2,ResNet18,5,incorrect_any_model,10,0.0,False,True,1.0,1.0,0.8364163304264829,-0.008860874038539005
08b7807e7f30af2b,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/02_STROMA/115D2_CRC-Prim-HE-03_013.tif_Row_1_Col_1.tif,CRC-Prim-HE-03,02_STROMA,1,ResNet18,2,correct_low_confidence,10,0.4,False,True,0.5,0.35555555555555557,0.012557176326211852,0.39706568001104464
09ada73a877f5a27,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/02_STROMA/13E36_CRC-Prim-HE-09_017.tif_Row_151_Col_601.tif,CRC-Prim-HE-09,02_STROMA,1,ResNet18,8,incorrect_any_model,10,0.2,False,True,0.8,0.6444444444444445,0.6762219851114855,0.8439354312595793
0b7d64730d5c0c8d,Colorectal Histology MNIST/Kather_texture_2016_image_tiles_5000/Kather_texture_2016_image_tiles_5000/01_TUMOR/5552_CRC-Prim-HE-02_003b.tif_Row_1_Col_151.tif,CRC-Prim-HE-02,01_TUMOR,0,ResNet18,1,incorrect_any_model,10,1.0,True,False,1.0,1.0,0.3898705951207765,0.3898705951207765
