model,class_name,cohort_stratum,images,prediction_agreement,conditional_map_spearman,common_target_spearman
DINOv2,01_TUMOR,correct_high_confidence,16,1.0,0.9886974666216872,0.9886974666216872
DINOv2,01_TUMOR,correct_low_confidence,8,0.9194444444444445,0.9835352852419116,0.9853123691231017
DINOv2,01_TUMOR,incorrect_any_model,10,0.8044444444444444,0.9900997081224491,0.9897519446148889
DINOv2,02_STROMA,correct_high_confidence,16,0.9097222222222222,0.9896814083393342,0.9896685234031137
DINOv2,02_STROMA,correct_low_confidence,8,0.95,0.9879369636799037,0.9900264064839742
DINOv2,02_STROMA,incorrect_any_model,10,0.9333333333333333,0.9893873717129701,0.9831519575420954
DINOv2,03_COMPLEX,correct_high_confidence,16,0.9027777777777778,0.9870342358320514,0.985836102500352
DINOv2,03_COMPLEX,correct_low_confidence,8,0.7694444444444445,0.9835768917969914,0.9857351551840313
DINOv2,03_COMPLEX,incorrect_any_model,10,0.8733333333333333,0.9878611820399866,0.9876997814868899
DINOv2,04_LYMPHO,correct_high_confidence,16,1.0,0.9897055098233489,0.9897055098233489
DINOv2,04_LYMPHO,correct_low_confidence,8,0.975,0.9916234059027751,0.9930032468538632
DINOv2,04_LYMPHO,incorrect_any_model,10,0.9444444444444444,0.9923530721152186,0.9956814205052058
DINOv2,05_DEBRIS,correct_high_confidence,16,0.9527777777777778,0.9916126351643406,0.989985749082921
DINOv2,05_DEBRIS,correct_low_confidence,8,0.8277777777777777,0.9928438202270506,0.9912252645428861
DINOv2,05_DEBRIS,incorrect_any_model,10,0.8400000000000001,0.9863295934874202,0.9822375259097523
DINOv2,06_MUCOSA,correct_high_confidence,16,0.9680555555555556,0.9847893967083599,0.9847781523125977
DINOv2,06_MUCOSA,correct_low_confidence,8,0.9305555555555556,0.9873317934645797,0.9883629995015057
DINOv2,06_MUCOSA,incorrect_any_model,10,0.96,0.9919272233688478,0.9891760924596313
DINOv2,07_ADIPOSE,correct_high_confidence,16,1.0,0.9935861448755294,0.9935861448755294
DINOv2,07_ADIPOSE,correct_low_confidence,8,0.8444444444444444,0.9938358234254265,0.9940925897887465
DINOv2,07_ADIPOSE,incorrect_any_model,10,0.9444444444444444,0.9886339085940248,0.9885349455153662
DINOv2,08_EMPTY,correct_high_confidence,16,1.0,0.9746854106734456,0.9746854106734456
DINOv2,08_EMPTY,correct_low_confidence,8,0.8888888888888888,0.9825210700098087,0.9825777602463608
DINOv2,08_EMPTY,incorrect_any_model,10,0.8777777777777779,0.9895453370628662,0.9916188669923262
ResNet18,01_TUMOR,correct_high_confidence,16,1.0,0.6914191947767003,0.6914191947767003
ResNet18,01_TUMOR,correct_low_confidence,8,0.7638888888888888,0.6437093898337592,0.6696009394517337
ResNet18,01_TUMOR,incorrect_any_model,10,0.8177777777777777,0.5874760651740855,0.546613465937736
ResNet18,02_STROMA,correct_high_confidence,16,0.9416666666666667,0.5759910102379726,0.577961663197738
ResNet18,02_STROMA,correct_low_confidence,8,0.7583333333333333,0.6638177790856703,0.5261017566269424
ResNet18,02_STROMA,incorrect_any_model,10,0.76,0.6219388759678098,0.5365396987336023
ResNet18,03_COMPLEX,correct_high_confidence,16,0.8458333333333333,0.6062979332241435,0.6101427448246936
ResNet18,03_COMPLEX,correct_low_confidence,8,0.6166666666666667,0.6361581669385667,0.6107312881134788
ResNet18,03_COMPLEX,incorrect_any_model,10,0.8022222222222222,0.7007277124584841,0.4353250633220501
ResNet18,04_LYMPHO,correct_high_confidence,16,1.0,0.6863253406672275,0.6863253406672275
ResNet18,04_LYMPHO,correct_low_confidence,8,0.8055555555555556,0.723378042798827,0.7000028171385535
ResNet18,04_LYMPHO,incorrect_any_model,10,0.7377777777777779,0.5289642661302134,0.5679056219292042
ResNet18,05_DEBRIS,correct_high_confidence,16,1.0,0.7049662989303616,0.7049662989303616
ResNet18,05_DEBRIS,correct_low_confidence,8,0.9305555555555556,0.7040915126133002,0.6481037635417888
ResNet18,05_DEBRIS,incorrect_any_model,10,0.8377777777777778,0.6320549207397171,0.6500738791335038
ResNet18,06_MUCOSA,correct_high_confidence,16,0.9708333333333333,0.7865637889578683,0.7790926291933865
