model,source_class,tiles,recall
DINOv2,ADI,1338,0.945440956651719
DINOv2,BACK,847,0.912239275875639
DINOv2,DEB,339,0.396263520157325
DINOv2,LYM,634,0.994216614090431
DINOv2,MUC,1035,0.318196457326892
DINOv2,NORM,741,0.94646873594242
DINOv2,STR,421,0.938242280285036
DINOv2,TUM,1233,0.665855636658556
ResNet18,ADI,1338,0.968360737419033
ResNet18,BACK,847,0.778827233372688
ResNet18,DEB,339,0.969518190757129
ResNet18,LYM,634,0
ResNet18,MUC,1035,0.744927536231884
ResNet18,NORM,741,0.431399010346379
ResNet18,STR,421,0.85193982581156
ResNet18,TUM,1233,0.728575290619086
UNI,ADI,1338,0.614848031888391
UNI,BACK,847,0.833136560409288
UNI,DEB,339,0.952802359882006
UNI,LYM,634,0.0525762355415352
UNI,MUC,1035,0.999033816425121
UNI,NORM,741,0.990103463787674
UNI,STR,421,0.391923990498812
UNI,TUM,1233,0.84617464179508
