model,seed,source_class,tiles,recall
DINOv2,11,ADI,1338,0.943198804185351
DINOv2,11,BACK,847,0.911452184179457
DINOv2,11,DEB,339,0.365781710914454
DINOv2,11,LYM,634,0.993690851735016
DINOv2,11,MUC,1035,0.298550724637681
DINOv2,11,NORM,741,0.932523616734143
DINOv2,11,STR,421,0.942992874109264
DINOv2,11,TUM,1233,0.672343876723439
DINOv2,89,ADI,1338,0.937219730941704
DINOv2,89,BACK,847,0.922077922077922
DINOv2,89,DEB,339,0.415929203539823
DINOv2,89,LYM,634,0.993690851735016
DINOv2,89,MUC,1035,0.274396135265701
DINOv2,89,NORM,741,0.944669365721997
DINOv2,89,STR,421,0.947743467933492
DINOv2,89,TUM,1233,0.681265206812652
DINOv2,181,ADI,1338,0.955904334828102
DINOv2,181,BACK,847,0.90318772136954
DINOv2,181,DEB,339,0.407079646017699
DINOv2,181,LYM,634,0.995268138801262
DINOv2,181,MUC,1035,0.381642512077295
DINOv2,181,NORM,741,0.96221322537112
DINOv2,181,STR,421,0.923990498812352
DINOv2,181,TUM,1233,0.643957826439578
ResNet18,11,ADI,1338,0.972346786248132
ResNet18,11,BACK,847,0.859504132231405
ResNet18,11,DEB,339,0.955752212389381
ResNet18,11,LYM,634,0
ResNet18,11,MUC,1035,0.785507246376812
ResNet18,11,NORM,741,0.488529014844804
ResNet18,11,STR,421,0.909738717339667
ResNet18,11,TUM,1233,0.643146796431468
ResNet18,89,ADI,1338,0.959641255605381
ResNet18,89,BACK,847,0.890200708382527
ResNet18,89,DEB,339,0.958702064896755
ResNet18,89,LYM,634,0
ResNet18,89,MUC,1035,0.734299516908213
ResNet18,89,NORM,741,0.369770580296896
ResNet18,89,STR,421,0.760095011876485
ResNet18,89,TUM,1233,0.766423357664234
ResNet18,181,ADI,1338,0.973094170403587
ResNet18,181,BACK,847,0.586776859504132
ResNet18,181,DEB,339,0.994100294985251
ResNet18,181,LYM,634,0
ResNet18,181,MUC,1035,0.714975845410628
ResNet18,181,NORM,741,0.435897435897436
ResNet18,181,STR,421,0.885985748218527
ResNet18,181,TUM,1233,0.776155717761557
UNI,11,ADI,1338,0.608370702541106
UNI,11,BACK,847,0.694214876033058
UNI,11,DEB,339,0.967551622418879
UNI,11,LYM,634,0.0662460567823344
UNI,11,MUC,1035,0.999033816425121
UNI,11,NORM,741,0.995951417004049
UNI,11,STR,421,0.491686460807601
UNI,11,TUM,1233,0.86455798864558
UNI,89,ADI,1338,0.614349775784753
UNI,89,BACK,847,0.858323494687131
UNI,89,DEB,339,0.929203539823009
UNI,89,LYM,634,0.0378548895899054
UNI,89,MUC,1035,0.999033816425121
UNI,89,NORM,741,0.995951417004049
UNI,89,STR,421,0.330166270783848
UNI,89,TUM,1233,0.925385239253852
UNI,181,ADI,1338,0.621823617339312
UNI,181,BACK,847,0.946871310507674
UNI,181,DEB,339,0.96165191740413
UNI,181,LYM,634,0.0536277602523659
UNI,181,MUC,1035,0.999033816425121
UNI,181,NORM,741,0.978407557354926
UNI,181,STR,421,0.353919239904988
UNI,181,TUM,1233,0.748580697485807
