model,images,attribution_occlusion_spearman,top_beats_random_target_logit,top_minus_random_relative_target_logit_reduction_auc,scope
DINOv2,187,0.0493261694624317,0.714795008912656,0.0607877302846101,Kather_selected
ResNet18,187,0.00991698925189619,0.179144385026738,-0.0958663257303752,Kather_selected
UNI,187,0.128055506763234,0.95632798573975,0.0951043459331076,Kather_selected
DINOv2,100,0.0519825190878949,0.771666666666667,0.0610109045176366,Kather_random
ResNet18,100,0.0262039750302489,0.213333333333333,-0.0797546295792675,Kather_random
UNI,100,0.10058480226626,0.93,0.0820270615660144,Kather_random
DINOv2,48,0.140361971893313,0.791666666666667,0.06179965045537,CRC_conditional
ResNet18,48,0.104254315221647,0.118055555555556,-0.117067021874915,CRC_conditional
UNI,48,0.0310119836009213,0.881944444444444,0.0985780445035581,CRC_conditional
DINOv2,98,0.0936708463209486,0.77891156462585,0.0530508685482513,CRC_class_complete
ResNet18,98,0.0657610489690858,0.333333333333333,0.0568116204083172,CRC_class_complete
UNI,98,0.0297239356611068,0.870748299319728,0.123881204852552,CRC_class_complete
