model,images,top_minus_random_probability_reduction_auc,top_beats_random_probability,scope
DINOv2,100,0.0444359273009793,0.723333333333333,Kather_random_prediction_independent_primary_jointly_correct_true_class
ResNet18,100,-0.06948962105965,0.25,Kather_random_prediction_independent_primary_jointly_correct_true_class
UNI,100,0.0456401472151085,0.933333333333333,Kather_random_prediction_independent_primary_jointly_correct_true_class
DINOv2,187,0.0493901141114715,0.696078431372549,Kather_selected_faithfulness_primary_jointly_correct_true_class
ResNet18,187,-0.0861175954985715,0.186274509803922,Kather_selected_faithfulness_primary_jointly_correct_true_class
UNI,187,0.0622394400363358,0.953654188948307,Kather_selected_faithfulness_primary_jointly_correct_true_class
DINOv2,98,0.0305976253503705,0.77891156462585,CRC_crc_common_seven_external_all_image_true_class_sensitivity
ResNet18,98,-0.0310931978238173,0.353741496598639,CRC_crc_common_seven_external_all_image_true_class_sensitivity
UNI,98,0.0394292142464411,0.877551020408163,CRC_crc_common_seven_external_all_image_true_class_sensitivity
DINOv2,48,0.0460453183693526,0.836805555555556,CRC_crc_common_seven_external_primary_jointly_correct_true_class
ResNet18,48,-0.0830945968128637,0.180555555555556,CRC_crc_common_seven_external_primary_jointly_correct_true_class
UNI,48,0.0522623096696528,0.902777777777778,CRC_crc_common_seven_external_primary_jointly_correct_true_class
