case_id,model,attribution_occlusion_spearman,top_beats_random_target_logit,top_minus_random_relative_target_logit_reduction_auc,scope
CRC-Prim-HE-01,DINOv2,0.0466677027176748,0.552083333333333,0.0344182896281699,Kather_selected
CRC-Prim-HE-01,ResNet18,-0.0128303819628662,0.34375,-0.0315335467458854,Kather_selected
CRC-Prim-HE-01,UNI,0.188948819867894,0.979166666666667,0.102110162536243,Kather_selected
CRC-Prim-HE-02,DINOv2,0.0564551854099145,0.952380952380952,0.11167160060594,Kather_selected
CRC-Prim-HE-02,ResNet18,0.128626261683342,0.19047619047619,-0.0743691434434763,Kather_selected
CRC-Prim-HE-02,UNI,0.209868146378755,1,0.0867862883538868,Kather_selected
CRC-Prim-HE-03,DINOv2,0.00192493767760448,0.75,0.0899467764700181,Kather_selected
CRC-Prim-HE-03,ResNet18,0.0520464774191989,0.0833333333333333,-0.129281167638516,Kather_selected
CRC-Prim-HE-03,UNI,-0.00938282553394778,1,0.140819952132358,Kather_selected
CRC-Prim-HE-04,DINOv2,-0.059192297509919,0.6,0.0299516750416978,Kather_selected
CRC-Prim-HE-04,ResNet18,-0.00886948037056813,0.2,-0.0928561519635579,Kather_selected
CRC-Prim-HE-04,UNI,0.0790358601040804,1,0.0882428234092312,Kather_selected
CRC-Prim-HE-05,DINOv2,0.043718435514179,0.76,0.0874388446241243,Kather_selected
CRC-Prim-HE-05,ResNet18,0.00535236492707027,0.173333333333333,-0.0884358911042389,Kather_selected
CRC-Prim-HE-05,UNI,0.180230442301379,0.973333333333333,0.134128846914243,Kather_selected
CRC-Prim-HE-06,DINOv2,0.0374325654456427,0.804761904761905,0.05346970739709,Kather_selected
CRC-Prim-HE-06,ResNet18,-0.0980436399125948,0.114285714285714,-0.102585182489559,Kather_selected
CRC-Prim-HE-06,UNI,0.145949879631249,0.871428571428571,0.0639384373416088,Kather_selected
CRC-Prim-HE-07,DINOv2,0.155135167183163,0.901960784313726,0.114072152944375,Kather_selected
CRC-Prim-HE-07,ResNet18,0.072855805020007,0.294117647058824,-0.0796541088098077,Kather_selected
CRC-Prim-HE-07,UNI,0.113748271350204,1,0.144735874739716,Kather_selected
CRC-Prim-HE-08,DINOv2,0.00491974812571047,0.717948717948718,0.0855818638719769,Kather_selected
CRC-Prim-HE-08,ResNet18,0.0972968911903913,0.153846153846154,-0.0780914163505656,Kather_selected
CRC-Prim-HE-08,UNI,0.147989164827518,0.974358974358974,0.084779893382295,Kather_selected
CRC-Prim-HE-09,DINOv2,0.0731110781784523,0.538461538461538,0.0363279195408875,Kather_selected
CRC-Prim-HE-09,ResNet18,-0.0110864941140131,0.230769230769231,-0.111704357588709,Kather_selected
CRC-Prim-HE-09,UNI,0.195589520831776,1,0.0840228767405213,Kather_selected
CRC-Prim-HE-10,DINOv2,0.0961470115136591,0.611111111111111,0.0188341172287057,Kather_selected
CRC-Prim-HE-10,ResNet18,0.0466037421003137,0.133333333333333,-0.127256587405141,Kather_selected
CRC-Prim-HE-10,UNI,0.0801486186005556,0.922222222222222,0.0573490707731224,Kather_selected
CRC-Prim-HE-01,DINOv2,0.0716954132576219,0.666666666666667,0.0658468308218668,Kather_random
CRC-Prim-HE-01,ResNet18,0.0290702011824979,0.238095238095238,-0.0648449902119781,Kather_random
CRC-Prim-HE-01,UNI,0.252487364053606,1,0.102114248140224,Kather_random
CRC-Prim-HE-02,DINOv2,0.00969049079999043,0.833333333333333,0.0978971670438945,Kather_random
CRC-Prim-HE-02,ResNet18,0.148823715060378,0.305555555555556,-0.0338733271903824,Kather_random
CRC-Prim-HE-02,UNI,0.161673444595852,1,0.0858783829609313,Kather_random
CRC-Prim-HE-03,DINOv2,0.0390732349357065,0.909090909090909,0.145391370676493,Kather_random
CRC-Prim-HE-03,ResNet18,0.0984359626132867,0.272727272727273,-0.0632532447028154,Kather_random
CRC-Prim-HE-03,UNI,0.0674009880663567,0.96969696969697,0.120591063526535,Kather_random
CRC-Prim-HE-04,DINOv2,-0.054336008961514,0.666666666666667,0.0332194764337916,Kather_random
CRC-Prim-HE-04,ResNet18,-0.144432997162719,0.238095238095238,-0.0870540320493919,Kather_random
CRC-Prim-HE-04,UNI,0.0774008995973101,1,0.0725299222808393,Kather_random
CRC-Prim-HE-05,DINOv2,-0.00239601533788118,0.878787878787879,0.0368775608244118,Kather_random
CRC-Prim-HE-05,ResNet18,0.0434765138173405,0.121212121212121,-0.0794865580668318,Kather_random
CRC-Prim-HE-05,UNI,0.0210694309316499,0.96969696969697,0.10571755372901,Kather_random
CRC-Prim-HE-06,DINOv2,0.0148115828426955,0.821428571428571,0.0393229447038687,Kather_random
CRC-Prim-HE-06,ResNet18,-0.0936517649513394,0.202380952380952,-0.0777551710249222,Kather_random
CRC-Prim-HE-06,UNI,0.0764305831359379,0.761904761904762,0.0346959901028125,Kather_random
CRC-Prim-HE-07,DINOv2,0.00846855988262803,0.962962962962963,0.0873555484970583,Kather_random
CRC-Prim-HE-07,ResNet18,0.10019055177257,0.296296296296296,-0.0775871330541371,Kather_random
CRC-Prim-HE-07,UNI,-0.0187877718216,1,0.0782625906831702,Kather_random
CRC-Prim-HE-08,DINOv2,0.13416784649562,0.833333333333333,0.0643753771270764,Kather_random
CRC-Prim-HE-08,ResNet18,0.0373893556821963,0.111111111111111,-0.0735386378449031,Kather_random
CRC-Prim-HE-08,UNI,0.109597210578239,1,0.114597949813286,Kather_random
CRC-Prim-HE-09,DINOv2,0.133865757157998,0.633333333333333,0.0527927316491207,Kather_random
CRC-Prim-HE-09,ResNet18,0.0493746546440803,0.366666666666667,-0.0587888045578807,Kather_random
CRC-Prim-HE-09,UNI,0.229540659042678,1,0.101342040455447,Kather_random
CRC-Prim-HE-10,DINOv2,0.115152624686612,0.614035087719298,0.0297044374010199,Kather_random
CRC-Prim-HE-10,ResNet18,0.0350149792957319,0.105263157894737,-0.122253449684441,Kather_random
CRC-Prim-HE-10,UNI,0.102743107005868,0.842105263157895,0.0570745576344912,Kather_random
