model,label,class_name,seeds,images_per_seed,accuracy_mean,accuracy_std
DINOv2,0,01_TUMOR,10,625,0.88832,0.011752711271116212
DINOv2,1,02_STROMA,10,625,0.6619200000000001,0.02388773743995025
DINOv2,2,03_COMPLEX,10,625,0.63856,0.03307913743333298
DINOv2,3,04_LYMPHO,10,625,0.73632,0.021048768768426037
DINOv2,4,05_DEBRIS,10,625,0.45248,0.028629619471992832
DINOv2,5,06_MUCOSA,10,625,0.9329599999999999,0.005357279574975007
DINOv2,6,07_ADIPOSE,10,625,0.968,0.005890859209166559
DINOv2,7,08_EMPTY,10,625,0.76208,0.05120027777702426
ResNet18,0,01_TUMOR,10,625,0.9204800000000001,0.013929090263027084
ResNet18,1,02_STROMA,10,625,0.65296,0.02845671957357155
ResNet18,2,03_COMPLEX,10,625,0.70416,0.032975789098468426
ResNet18,3,04_LYMPHO,10,625,0.87248,0.015104730679124623
ResNet18,4,05_DEBRIS,10,625,0.56432,0.028141104771806282
ResNet18,5,06_MUCOSA,10,625,0.9624,0.007955431408093998
ResNet18,6,07_ADIPOSE,10,625,0.96128,0.008081364021280315
ResNet18,7,08_EMPTY,10,625,0.81408,0.2714638375753042
UNI,0,01_TUMOR,10,625,0.9635199999999999,0.0025909243309848143
UNI,1,02_STROMA,10,625,0.73168,0.01757655003438137
UNI,2,03_COMPLEX,10,625,0.7510399999999999,0.015461148440885999
UNI,3,04_LYMPHO,10,625,0.87424,0.01004027445397339
UNI,4,05_DEBRIS,10,625,0.6024,0.004960286730063535
UNI,5,06_MUCOSA,10,625,0.9936,0.0016865480854231403
UNI,6,07_ADIPOSE,10,625,0.98432,0.0021064978835340013
UNI,7,08_EMPTY,10,625,0.6344000000000001,0.15042505701437436
