model,class_name,pairwise_prediction_agreement_count,pairwise_prediction_agreement_mean,pairwise_prediction_agreement_std,mean_predicted_class_spearman_same_prediction_count,mean_predicted_class_spearman_same_prediction_mean,mean_predicted_class_spearman_same_prediction_std,mean_common_true_class_spearman_count,mean_common_true_class_spearman_mean,mean_common_true_class_spearman_std
DINOv2,01_TUMOR,34,0.9235294117647058,0.1903933885234286,34,0.9878952596796111,0.00651972238647001,34,0.9882111136788441,0.005703269103101473
DINOv2,02_STROMA,34,0.9261437908496732,0.16253883481833376,34,0.989184469411714,0.005506326893588022,34,0.9878360941688991,0.013434493577991709
DINOv2,03_COMPLEX,34,0.8627450980392157,0.2198847154484599,34,0.9864639625908417,0.009115885610856066,34,0.986360491069023,0.005638153171090343
DINOv2,04_LYMPHO,34,0.9777777777777779,0.10028019107871401,34,0.9909354742808226,0.01520785946760941,34,0.9922390687369573,0.015294951410742852
DINOv2,05_DEBRIS,34,0.8901960784313725,0.20174629877046601,34,0.9903484899800016,0.005132007764175319,34,0.9879985106108042,0.009821201638336536
DINOv2,06_MUCOSA,34,0.9568627450980391,0.11604418530618896,34,0.9874869684923198,0.007912021052686716,34,0.9869151575767624,0.007552964901133127
DINOv2,07_ADIPOSE,34,0.9470588235294118,0.15062058489813845,34,0.9921883526868274,0.00505477267908221,34,0.9922196615138854,0.005177400300564853
DINOv2,08_EMPTY,34,0.9379084967320261,0.14605723929237677,34,0.9808996618083017,0.015638283971651224,34,0.9815228624314493,0.015966451352673404
ResNet18,01_TUMOR,34,0.8908496732026143,0.19727797074718492,34,0.6496218496128863,0.12961131494609876,34,0.6436955673946598,0.1853127514211672
ResNet18,02_STROMA,34,0.8450980392156863,0.23660431635443643,34,0.6101702104756184,0.21554089211177535,34,0.5535764015151579,0.19560446682287808
ResNet18,03_COMPLEX,34,0.7790849673202614,0.24581441489163616,34,0.6410973350494021,0.12576669134778412,34,0.5588642604506892,0.1851602859986807
ResNet18,04_LYMPHO,34,0.8771241830065359,0.19094623646103936,34,0.6487609545402467,0.13777532376705268,34,0.6547142413845916,0.13101150933605063
ResNet18,05_DEBRIS,34,0.9359477124183007,0.15207896681533573,34,0.6833159438585106,0.14491274904330864,34,0.6754420494869157,0.17842201461653057
ResNet18,06_MUCOSA,34,0.9418300653594772,0.1744653276982837,34,0.7841344464615827,0.12782095182093864,34,0.7656877087435624,0.16091751259936737
ResNet18,07_ADIPOSE,34,0.8967320261437909,0.20402844170923287,34,0.7469207100258014,0.1539815565429099,34,0.7001871488278739,0.18130668125465904
ResNet18,08_EMPTY,34,0.8320261437908497,0.17344822027615292,34,0.8003659827485228,0.06730864586820852,34,0.7473226390654868,0.06998080580756968
UNI,01_TUMOR,34,0.9699346405228757,0.10349411523126556,34,0.9103935189087733,0.030774879275765547,34,0.909155032050566,0.030110803628770017
UNI,02_STROMA,34,0.8895424836601307,0.19469087177264982,34,0.9361393905524477,0.02968063182368905,34,0.9383841054318383,0.027689125551295112
UNI,03_COMPLEX,34,0.9562091503267974,0.11878991999086977,34,0.9024230003164254,0.04417399119244858,34,0.9013613358007978,0.044629175566534666
UNI,04_LYMPHO,34,0.9483660130718955,0.13684714351394037,34,0.8963367489195623,0.04362820028990178,34,0.8971727615945507,0.04273593038505097
UNI,05_DEBRIS,34,0.9575163398692811,0.12503559054074465,34,0.9395826580886099,0.030872953724788602,34,0.9389409669894251,0.034344620449151105
UNI,06_MUCOSA,34,0.9803921568627452,0.08611230904040923,34,0.8931021570413927,0.046613984800081366,34,0.8952426484064927,0.04601528113189053
UNI,07_ADIPOSE,34,0.9836601307189542,0.06905027767049324,34,0.964096047679104,0.019923389994303608,34,0.9629425770047704,0.020937923663925665
UNI,08_EMPTY,34,0.888235294117647,0.2021571134404064,34,0.9488481686737816,0.025176852196245516,34,0.9626569284488494,0.014468437055189576
