scope,model,seed,fold,image_count,class_coverage,source_group_count,accuracy,source_macro_accuracy,balanced_accuracy,macro_f1,cross_entropy_loss,test_loss
aggregate_oof,CNN,11,-1,5000,8,10,0.5714,0.5958481788026676,0.5714,0.5445433484164397,1.4133945095258036,1.4133945095258036
fold,CNN,11,0,401,6,1,0.7556109725685786,0.7556109725685786,0.610704709234121,0.38818608717235537,0.551820528595629,0.551820528595629
fold,CNN,11,1,284,6,1,0.426056338028169,0.426056338028169,0.3537271498266032,0.16517244896018637,2.0491733456862433,2.0491733456862433
fold,CNN,11,2,740,7,1,0.672972972972973,0.672972972972973,0.5832414803003038,0.49658322653735354,0.8037193691840955,0.8037193691840955
fold,CNN,11,3,381,6,1,0.4461942257217848,0.4461942257217848,0.48979202754082646,0.38545501716848796,1.6194547276810096,1.6194547276810096
fold,CNN,11,4,661,7,1,0.7367624810892587,0.7367624810892587,0.6987422368815119,0.5719459466151134,0.8760699864789244,0.8760699864789244
fold,CNN,11,5,1061,8,1,0.34401508011310084,0.34401508011310084,0.7192126796318963,0.6002728632173563,3.0320980481647037,3.0320980481647037
fold,CNN,11,6,503,7,1,0.6262425447316103,0.6262425447316103,0.6400799150359058,0.5143594984547408,0.7914456421118774,0.7914456421118774
fold,CNN,11,7,389,6,1,0.44473007712082263,0.44473007712082263,0.6512016203806883,0.403649156896574,1.1177043161471425,1.1177043161471425
fold,CNN,11,8,342,6,1,0.6403508771929824,0.6403508771929824,0.6347842848142459,0.4483135292957593,0.9866961732377527,0.9866961732377527
fold,CNN,11,9,238,7,1,0.865546218487395,0.865546218487395,0.8518223954071639,0.7414794582850995,0.3592024481867134,0.3592024481867134
aggregate_oof,CNN,23,-1,5000,8,10,0.5866,0.6011951361033997,0.5866,0.5513634587569832,1.1206835202141574,1.1206835202141574
fold,CNN,23,0,401,6,1,0.6783042394014963,0.6783042394014963,0.6176941930618401,0.36612799929689116,0.9965730648657728,0.9965730648657728
fold,CNN,23,1,284,6,1,0.38028169014084506,0.38028169014084506,0.22399792315680164,0.0952689779182701,1.9914160473550508,1.9914160473550508
fold,CNN,23,2,740,7,1,0.668918918918919,0.668918918918919,0.5912697379083933,0.47904933141420125,0.9499195289554677,0.9499195289554677
fold,CNN,23,3,381,6,1,0.5538057742782152,0.5538057742782152,0.6271938425335817,0.4779228746461457,1.162603603662258,1.162603603662258
fold,CNN,23,4,661,7,1,0.7503782148260212,0.7503782148260212,0.70514309883724,0.5827598794617219,0.79365782935321,0.79365782935321
fold,CNN,23,5,1061,8,1,0.40904806786050896,0.40904806786050896,0.8110623781676414,0.6876682168078072,1.1525779983868112,1.1525779983868112
fold,CNN,23,6,503,7,1,0.6322067594433399,0.6322067594433399,0.6062571644886897,0.5236465519268415,1.409644200970326,1.409644200970326
fold,CNN,23,7,389,6,1,0.45758354755784064,0.45758354755784064,0.7744886817902733,0.46101325433929613,1.4330851340520139,1.4330851340520139
