model,seed,label,class_name,image_count,source_group_count,accuracy
CNN,11,0,01_TUMOR,625,10,0.6608
CNN,11,1,02_STROMA,625,10,0.4784
CNN,11,2,03_COMPLEX,625,10,0.7264
CNN,11,3,04_LYMPHO,625,10,0.776
CNN,11,4,05_DEBRIS,625,10,0.3136
CNN,11,5,06_MUCOSA,625,8,0.784
CNN,11,6,07_ADIPOSE,625,6,0.7776
CNN,11,7,08_EMPTY,625,2,0.0544
CNN,23,0,01_TUMOR,625,10,0.8832
CNN,23,1,02_STROMA,625,10,0.576
CNN,23,2,03_COMPLEX,625,10,0.6896
CNN,23,3,04_LYMPHO,625,10,0.5296
CNN,23,4,05_DEBRIS,625,10,0.256
CNN,23,5,06_MUCOSA,625,8,0.8864
CNN,23,6,07_ADIPOSE,625,6,0.8176
CNN,23,7,08_EMPTY,625,2,0.0544
CNN,41,0,01_TUMOR,625,10,0.6944
CNN,41,1,02_STROMA,625,10,0.5616
CNN,41,2,03_COMPLEX,625,10,0.5872
CNN,41,3,04_LYMPHO,625,10,0.6416
CNN,41,4,05_DEBRIS,625,10,0.2592
CNN,41,5,06_MUCOSA,625,8,0.7088
CNN,41,6,07_ADIPOSE,625,6,0.9216
CNN,41,7,08_EMPTY,625,2,0.1536
CNN,57,0,01_TUMOR,625,10,0.7104
CNN,57,1,02_STROMA,625,10,0.44
CNN,57,2,03_COMPLEX,625,10,0.6752
CNN,57,3,04_LYMPHO,625,10,0.7872
CNN,57,4,05_DEBRIS,625,10,0.4272
CNN,57,5,06_MUCOSA,625,8,0.7152
CNN,57,6,07_ADIPOSE,625,6,0.808
CNN,57,7,08_EMPTY,625,2,0.0544
CNN,73,0,01_TUMOR,625,10,0.7536
CNN,73,1,02_STROMA,625,10,0.5952
CNN,73,2,03_COMPLEX,625,10,0.72
CNN,73,3,04_LYMPHO,625,10,0.5984
CNN,73,4,05_DEBRIS,625,10,0.3152
CNN,73,5,06_MUCOSA,625,8,0.8368
CNN,73,6,07_ADIPOSE,625,6,0.8848
CNN,73,7,08_EMPTY,625,2,0.0544
CNN,89,0,01_TUMOR,625,10,0.8448
CNN,89,1,02_STROMA,625,10,0.5408
CNN,89,2,03_COMPLEX,625,10,0.6448
CNN,89,3,04_LYMPHO,625,10,0.8128
CNN,89,4,05_DEBRIS,625,10,0.3392
CNN,89,5,06_MUCOSA,625,8,0.7776
CNN,89,6,07_ADIPOSE,625,6,0.9664
CNN,89,7,08_EMPTY,625,2,0.0544
CNN,101,0,01_TUMOR,625,10,0.8704
CNN,101,1,02_STROMA,625,10,0.5936
CNN,101,2,03_COMPLEX,625,10,0.7392
CNN,101,3,04_LYMPHO,625,10,0.7888
CNN,101,4,05_DEBRIS,625,10,0.3008
CNN,101,5,06_MUCOSA,625,8,0.744
CNN,101,6,07_ADIPOSE,625,6,0.9312
CNN,101,7,08_EMPTY,625,2,0.0544
CNN,131,0,01_TUMOR,625,10,0.7296
CNN,131,1,02_STROMA,625,10,0.4816
