model,seed,fold,case_id,image_count,class_coverage,accuracy
CNN,11,0,CRC-Prim-HE-01,401,6,0.7556109725685786
CNN,11,1,CRC-Prim-HE-02,284,6,0.426056338028169
CNN,11,2,CRC-Prim-HE-03,740,7,0.672972972972973
CNN,11,3,CRC-Prim-HE-04,381,6,0.4461942257217848
CNN,11,4,CRC-Prim-HE-05,661,7,0.7367624810892587
CNN,11,5,CRC-Prim-HE-06,1061,8,0.34401508011310084
CNN,11,6,CRC-Prim-HE-07,503,7,0.6262425447316103
CNN,11,7,CRC-Prim-HE-08,389,6,0.44473007712082263
CNN,11,8,CRC-Prim-HE-09,342,6,0.6403508771929824
CNN,11,9,CRC-Prim-HE-10,238,7,0.865546218487395
CNN,23,0,CRC-Prim-HE-01,401,6,0.6783042394014963
CNN,23,1,CRC-Prim-HE-02,284,6,0.38028169014084506
CNN,23,2,CRC-Prim-HE-03,740,7,0.668918918918919
CNN,23,3,CRC-Prim-HE-04,381,6,0.5538057742782152
CNN,23,4,CRC-Prim-HE-05,661,7,0.7503782148260212
CNN,23,5,CRC-Prim-HE-06,1061,8,0.40904806786050896
CNN,23,6,CRC-Prim-HE-07,503,7,0.6322067594433399
CNN,23,7,CRC-Prim-HE-08,389,6,0.45758354755784064
CNN,23,8,CRC-Prim-HE-09,342,6,0.6578947368421053
CNN,23,9,CRC-Prim-HE-10,238,7,0.8235294117647058
CNN,41,0,CRC-Prim-HE-01,401,6,0.5411471321695761
CNN,41,1,CRC-Prim-HE-02,284,6,0.3626760563380282
CNN,41,2,CRC-Prim-HE-03,740,7,0.5081081081081081
CNN,41,3,CRC-Prim-HE-04,381,6,0.6955380577427821
CNN,41,4,CRC-Prim-HE-05,661,7,0.6822995461422088
CNN,41,5,CRC-Prim-HE-06,1061,8,0.46088595664467485
CNN,41,6,CRC-Prim-HE-07,503,7,0.6461232604373758
CNN,41,7,CRC-Prim-HE-08,389,6,0.4832904884318766
CNN,41,8,CRC-Prim-HE-09,342,6,0.716374269005848
CNN,41,9,CRC-Prim-HE-10,238,7,0.7184873949579832
CNN,57,0,CRC-Prim-HE-01,401,6,0.7680798004987531
CNN,57,1,CRC-Prim-HE-02,284,6,0.7288732394366197
CNN,57,2,CRC-Prim-HE-03,740,7,0.4418918918918919
CNN,57,3,CRC-Prim-HE-04,381,6,0.7270341207349081
CNN,57,4,CRC-Prim-HE-05,661,7,0.7413010590015129
CNN,57,5,CRC-Prim-HE-06,1061,8,0.39491046182846373
CNN,57,6,CRC-Prim-HE-07,503,7,0.3518886679920477
CNN,57,7,CRC-Prim-HE-08,389,6,0.5089974293059126
CNN,57,8,CRC-Prim-HE-09,342,6,0.7894736842105263
CNN,57,9,CRC-Prim-HE-10,238,7,0.8949579831932774
CNN,73,0,CRC-Prim-HE-01,401,6,0.5910224438902744
CNN,73,1,CRC-Prim-HE-02,284,6,0.5211267605633803
CNN,73,2,CRC-Prim-HE-03,740,7,0.6554054054054054
CNN,73,3,CRC-Prim-HE-04,381,6,0.7532808398950132
CNN,73,4,CRC-Prim-HE-05,661,7,0.7549167927382754
CNN,73,5,CRC-Prim-HE-06,1061,8,0.37983034872761545
CNN,73,6,CRC-Prim-HE-07,503,7,0.6719681908548708
CNN,73,7,CRC-Prim-HE-08,389,6,0.45758354755784064
CNN,73,8,CRC-Prim-HE-09,342,6,0.5467836257309941
CNN,73,9,CRC-Prim-HE-10,238,7,0.8907563025210085
CNN,89,0,CRC-Prim-HE-01,401,6,0.8254364089775561
CNN,89,1,CRC-Prim-HE-02,284,6,0.5845070422535211
CNN,89,2,CRC-Prim-HE-03,740,7,0.6513513513513514
CNN,89,3,CRC-Prim-HE-04,381,6,0.7139107611548556
CNN,89,4,CRC-Prim-HE-05,661,7,0.7322239031770046
CNN,89,5,CRC-Prim-HE-06,1061,8,0.40150801131008484
CNN,89,6,CRC-Prim-HE-07,503,7,0.6461232604373758
CNN,89,7,CRC-Prim-HE-08,389,6,0.4730077120822622
CNN,89,8,CRC-Prim-HE-09,342,6,0.6695906432748538
CNN,89,9,CRC-Prim-HE-10,238,7,0.8991596638655462
CNN,101,0,CRC-Prim-HE-01,401,6,0.6783042394014963
CNN,101,1,CRC-Prim-HE-02,284,6,0.6267605633802817
CNN,101,2,CRC-Prim-HE-03,740,7,0.6432432432432432
CNN,101,3,CRC-Prim-HE-04,381,6,0.6745406824146981
CNN,101,4,CRC-Prim-HE-05,661,7,0.7503782148260212
CNN,101,5,CRC-Prim-HE-06,1061,8,0.38642789820923656
CNN,101,6,CRC-Prim-HE-07,503,7,0.731610337972167
CNN,101,7,CRC-Prim-HE-08,389,6,0.519280205655527
CNN,101,8,CRC-Prim-HE-09,342,6,0.7543859649122807
CNN,101,9,CRC-Prim-HE-10,238,7,0.9327731092436975
CNN,131,0,CRC-Prim-HE-01,401,6,0.5610972568578554
CNN,131,1,CRC-Prim-HE-02,284,6,0.6514084507042254
CNN,131,2,CRC-Prim-HE-03,740,7,0.6554054054054054
CNN,131,3,CRC-Prim-HE-04,381,6,0.7664041994750657
CNN,131,4,CRC-Prim-HE-05,661,7,0.7715582450832073
CNN,131,5,CRC-Prim-HE-06,1061,8,0.39679547596606973
CNN,131,6,CRC-Prim-HE-07,503,7,0.43737574552683894
