model,method,target_role,class_name,correct,images,mean_spearman,mean_top_logit_auc,mean_random_logit_auc,mean_bottom_logit_auc,mean_top_minus_random_auc
CNN,gradcam,predicted,01_TUMOR,False,9,0.4430536903124782,0.40043946593585944,1.0637245994475153,1.496067334049278,-0.6632851335116559
CNN,gradcam,predicted,01_TUMOR,True,25,0.5897842162149203,1.2802252426296474,2.0566823559701444,2.7832515998631715,-0.776457113340497
CNN,gradcam,predicted,02_STROMA,False,10,0.38393856105436225,1.1517494900897145,1.6088332524150608,1.9041804337501524,-0.4570837623253464
CNN,gradcam,predicted,02_STROMA,True,24,0.3571510719325826,1.1679200013944258,1.8610071900611123,1.8166667073033749,-0.6930871886666864
CNN,gradcam,predicted,03_COMPLEX,False,9,0.42130117500199715,0.8031613604476054,1.4453375875949859,1.7209030605852604,-0.6421762271473805
CNN,gradcam,predicted,03_COMPLEX,True,25,0.4432230283941926,0.5021233492344618,0.9069324466064572,1.2955595528185366,-0.4048090973719954
CNN,gradcam,predicted,04_LYMPHO,False,9,0.5594625875590347,0.7439658058600294,1.1522164257760676,1.6359422716829513,-0.4082506199160383
CNN,gradcam,predicted,04_LYMPHO,True,25,0.5099667779986771,1.3525886630415918,1.9611018949374557,2.6346481789350507,-0.608513231895864
CNN,gradcam,predicted,05_DEBRIS,False,10,0.3909828403241774,1.4051520394533872,2.0309934306144717,2.2042288598418236,-0.6258413911610843
CNN,gradcam,predicted,05_DEBRIS,True,24,0.29677512270870426,1.9383324544566374,2.5222338328758878,2.7088790188233056,-0.5839013784192503
CNN,gradcam,predicted,06_MUCOSA,False,10,0.5370373276708371,0.8060852947831154,1.5474965395964682,2.039550812840462,-0.741411244813353
CNN,gradcam,predicted,06_MUCOSA,True,24,0.5207608426400896,0.37394559336438155,0.8356361774494871,1.614447790849954,-0.4616905840851056
CNN,gradcam,predicted,07_ADIPOSE,False,9,0.5042094550379792,0.30130452439188965,-0.6092991514338387,1.3118079041441282,0.9106036758257283
CNN,gradcam,predicted,07_ADIPOSE,True,25,0.1222869198736916,2.18736125099659,2.6440601793527607,2.720136307120323,-0.45669892835617065
CNN,gradcam,predicted,08_EMPTY,False,10,-0.23581661810867588,1.7431834429502486,1.7617324990034102,2.0812065958976746,-0.018549056053161574
CNN,gradcam,predicted,08_EMPTY,True,24,0.32873766020665923,1.658527049779271,0.8052124657978613,1.9511109370738267,0.8533145839814097
