comparison,model_a,model_b,comparison_target,subgroup,metric,pair_count,source_group_count,model_a_mean,model_b_mean,mean_paired_difference,wilcoxon_statistic,wilcoxon_p_value,paired_bootstrap_ci_low,paired_bootstrap_ci_high,hierarchical_bootstrap_ci_low,hierarchical_bootstrap_ci_high,confidence_level,bootstrap_iterations,wilcoxon_p_holm,significant_holm_0.05,wilcoxon_p_display,wilcoxon_p_holm_display
UNI - CNN,UNI,CNN,true_class,all,attribution_occlusion_spearman,272,10,0.15308897573882552,0.3825505258515944,-0.2294615501127688,6409.0,7.940056525646056e-21,-0.27300695504508926,-0.18509123532987348,-0.3007729854313819,-0.14752339331802097,0.95,5000,7.940056525646056e-21,True,p < 0.0001,p < 0.0001
UNI - CNN,UNI,CNN,true_class,all,top_target_logit_auc,272,10,1.811273594636762,0.8921335037424476,0.9191400908943144,5755.0,5.95749402481036e-23,0.7714771438771163,1.0682096484271988,0.6799742968114503,1.2245380612274286,0.95,5000,5.95749402481036e-23,True,p < 0.0001,p < 0.0001
UNI - CNN,UNI,CNN,true_class,all,random_target_logit_auc,272,10,2.3454448572577618,1.289093535177937,1.0563513220798246,5028.0,1.9279525191189595e-25,0.892398300913097,1.2192567890231165,0.7486219168069403,1.4032269409515454,0.95,5000,1.9279525191189595e-25,True,p < 0.0001,p < 0.0001
UNI - CNN,UNI,CNN,true_class,all,bottom_target_logit_auc,272,10,2.5611185037912736,1.755773399990079,0.8053451038011937,7025.0,6.330804236713728e-19,0.651231232174383,0.9679906520371064,0.3822900660814567,1.274946322447412,0.95,5000,6.330804236713728e-19,True,p < 0.0001,p < 0.0001
UNI - CNN,UNI,CNN,true_class,all,top_minus_random_target_logit_auc,272,10,-0.5341712626209997,-0.39696003143548936,-0.13721123118551024,15728.0,0.028964026761921616,-0.21734600271413107,-0.06513641211291228,-0.28316228457826376,0.015407110497982792,0.95,5000,0.028964026761921616,True,p = 0.0290,p = 0.0290
UNI - CNN,UNI,CNN,true_class,all,top_margin_auc,272,10,0.8648135344223941,0.03344324618057516,0.8313702882418189,9616.0,5.5492338934572865e-12,0.6223492679372089,1.0397050355226212,0.5236848223469259,1.1321309860809876,0.95,5000,5.5492338934572865e-12,True,p < 0.0001,p < 0.0001
UNI - CNN,UNI,CNN,true_class,all,top_minus_random_margin_auc,272,10,-0.7337534815223667,-0.19000773557876097,-0.5437457459436059,8285.0,2.457529517532129e-15,-0.6753028551551346,-0.42000309227308397,-0.8693157833067907,-0.3120721135861943,0.95,5000,2.457529517532129e-15,True,p < 0.0001,p < 0.0001
UNI - CNN,UNI,CNN,true_class,all,top_5_target_logit_drop,272,10,0.5313970082343611,0.5767899529515382,-0.045392944717177135,18227.0,0.7952337472990951,-0.18657698055869654,0.0846859482120421,-0.49265361136556757,0.35547503341604614,0.95,5000,0.7952337472990951,False,p = 0.7952,p = 0.7952
UNI - CNN,UNI,CNN,true_class,all,top_10_target_logit_drop,272,10,0.7773339046124259,1.0647751960136436,-0.28744129140121755,14787.0,0.0036301543675222626,-0.4754456673897734,-0.09940644710338403,-0.9073001061155519,0.291762368394085,0.95,5000,0.0036301543675222626,True,p = 0.0036,p = 0.0036
UNI - CNN,UNI,CNN,true_class,all,top_20_target_logit_drop,272,10,1.187195192959788,1.918877472224481,-0.7316822792646931,11544.0,6.4435867483394e-08,-0.9977500698311065,-0.4757521872013058,-1.6093586571260563,0.029891597684728908,0.95,5000,6.4435867483394e-08,True,p < 0.0001,p < 0.0001
UNI - CNN,UNI,CNN,true_class,all,top_30_target_logit_drop,272,10,1.6128732836908004,2.7164794038193683,-1.103606120128568,10261.0,1.615391629582709e-10,-1.4287766976261456,-0.7931648144536133,-2.1575498531230517,-0.15671699539289582,0.95,5000,1.615391629582709e-10,True,p < 0.0001,p < 0.0001
UNI - CNN,UNI,CNN,true_class,all,top_5_margin_drop,272,10,0.6526111113455366,0.4622117027311641,0.19039940861437252,15196.0,0.009495929944747055,-0.008288205039742196,0.39617942889111435,-0.31912678000091477,0.6695281246652987,0.95,5000,0.009495929944747055,True,p = 0.0095,p = 0.0095
UNI - CNN,UNI,CNN,true_class,all,top_10_margin_drop,272,10,0.9848808876293547,0.7992536695674062,0.1856272180619485,16912.0,0.2033059739251304,-0.081409279307734,0.4683466513463131,-0.5370597938121399,0.874389502774325,0.95,5000,0.2033059739251304,False,p = 0.2033,p = 0.2033
UNI - CNN,UNI,CNN,true_class,all,top_20_margin_drop,272,10,1.4756128825247288,1.3362776957014029,0.139335186823326,18054.0,0.694507092143251,-0.23495115356191112,0.5186993416754854,-0.8560745138786109,1.0395731584370065,0.95,5000,0.694507092143251,False,p = 0.6945,p = 0.6945
UNI - CNN,UNI,CNN,true_class,all,top_30_margin_drop,272,10,2.0344276333994724,1.8488635662395287,0.18556406715994372,18171.0,0.7621600761015809,-0.259009550743298,0.632164955959545,-1.0349164799421602,1.3793854960649925,0.95,5000,0.7621600761015809,False,p = 0.7622,p = 0.7622
