fold,split,label,class_name,image_count,source_group_count
0,test,0,01_TUMOR,54,1
0,test,1,02_STROMA,51,1
0,test,2,03_COMPLEX,72,1
0,test,3,04_LYMPHO,208,1
0,test,4,05_DEBRIS,15,1
0,test,5,06_MUCOSA,1,1
0,train,0,01_TUMOR,464,8
0,train,1,02_STROMA,524,8
0,train,2,03_COMPLEX,537,8
0,train,3,04_LYMPHO,311,8
0,train,4,05_DEBRIS,608,8
0,train,5,06_MUCOSA,621,6
0,train,6,07_ADIPOSE,625,6
0,train,7,08_EMPTY,625,2
0,validation,0,01_TUMOR,107,1
0,validation,1,02_STROMA,50,1
0,validation,2,03_COMPLEX,16,1
0,validation,3,04_LYMPHO,106,1
0,validation,4,05_DEBRIS,2,1
0,validation,5,06_MUCOSA,3,1
1,test,0,01_TUMOR,107,1
1,test,1,02_STROMA,50,1
1,test,2,03_COMPLEX,16,1
1,test,3,04_LYMPHO,106,1
1,test,4,05_DEBRIS,2,1
1,test,5,06_MUCOSA,3,1
1,train,0,01_TUMOR,488,8
1,train,1,02_STROMA,405,8
1,train,2,03_COMPLEX,477,8
1,train,3,04_LYMPHO,515,8
1,train,4,05_DEBRIS,512,8
1,train,5,06_MUCOSA,511,6
1,train,6,07_ADIPOSE,443,5
1,train,7,08_EMPTY,625,2
1,validation,0,01_TUMOR,30,1
1,validation,1,02_STROMA,170,1
1,validation,2,03_COMPLEX,132,1
1,validation,3,04_LYMPHO,4,1
1,validation,4,05_DEBRIS,111,1
1,validation,5,06_MUCOSA,111,1
1,validation,6,07_ADIPOSE,182,1
2,test,0,01_TUMOR,30,1
2,test,1,02_STROMA,170,1
2,test,2,03_COMPLEX,132,1
2,test,3,04_LYMPHO,4,1
2,test,4,05_DEBRIS,111,1
2,test,5,06_MUCOSA,111,1
2,test,6,07_ADIPOSE,182,1
2,train,0,01_TUMOR,533,8
2,train,1,02_STROMA,331,8
2,train,2,03_COMPLEX,486,8
2,train,3,04_LYMPHO,605,8
2,train,4,05_DEBRIS,373,8
2,train,5,06_MUCOSA,514,7
2,train,6,07_ADIPOSE,412,4
2,train,7,08_EMPTY,625,2
2,validation,0,01_TUMOR,62,1
2,validation,1,02_STROMA,124,1
2,validation,2,03_COMPLEX,7,1
2,validation,3,04_LYMPHO,16,1
2,validation,4,05_DEBRIS,141,1
2,validation,6,07_ADIPOSE,31,1
3,test,0,01_TUMOR,62,1
3,test,1,02_STROMA,124,1
3,test,2,03_COMPLEX,7,1
3,test,3,04_LYMPHO,16,1
3,test,4,05_DEBRIS,141,1
3,test,6,07_ADIPOSE,31,1
3,train,0,01_TUMOR,506,8
3,train,1,02_STROMA,474,8
3,train,2,03_COMPLEX,528,8
3,train,3,04_LYMPHO,450,8
3,train,4,05_DEBRIS,452,8
3,train,5,06_MUCOSA,473,7
3,train,6,07_ADIPOSE,450,4
3,train,7,08_EMPTY,625,2
3,validation,0,01_TUMOR,57,1
3,validation,1,02_STROMA,27,1
3,validation,2,03_COMPLEX,90,1
3,validation,3,04_LYMPHO,159,1
3,validation,4,05_DEBRIS,32,1
3,validation,5,06_MUCOSA,152,1
3,validation,6,07_ADIPOSE,144,1
4,test,0,01_TUMOR,57,1
4,test,1,02_STROMA,27,1
4,test,2,03_COMPLEX,90,1
4,test,3,04_LYMPHO,159,1
4,test,4,05_DEBRIS,32,1
4,test,5,06_MUCOSA,152,1
4,test,6,07_ADIPOSE,144,1
4,train,0,01_TUMOR,530,8
4,train,1,02_STROMA,544,8
4,train,2,03_COMPLEX,445,8
4,train,3,04_LYMPHO,446,8
4,train,4,05_DEBRIS,573,8
4,train,5,06_MUCOSA,353,6
4,train,6,07_ADIPOSE,352,4
4,train,7,08_EMPTY,35,1
4,validation,0,01_TUMOR,38,1
4,validation,1,02_STROMA,54,1
4,validation,2,03_COMPLEX,90,1
4,validation,3,04_LYMPHO,20,1
4,validation,4,05_DEBRIS,20,1
4,validation,5,06_MUCOSA,120,1
4,validation,6,07_ADIPOSE,129,1
4,validation,7,08_EMPTY,590,1
5,test,0,01_TUMOR,38,1
5,test,1,02_STROMA,54,1
5,test,2,03_COMPLEX,90,1
5,test,3,04_LYMPHO,20,1
5,test,4,05_DEBRIS,20,1
5,test,5,06_MUCOSA,120,1
5,test,6,07_ADIPOSE,129,1
5,test,7,08_EMPTY,590,1
5,train,0,01_TUMOR,467,8
5,train,1,02_STROMA,503,8
5,train,2,03_COMPLEX,451,8
5,train,3,04_LYMPHO,599,8
5,train,4,05_DEBRIS,546,8
5,train,5,06_MUCOSA,428,6
5,train,6,07_ADIPOSE,407,4
5,train,7,08_EMPTY,35,1
