model,seed,case_id,class_name,image_count
DINOv2,11,CRC-Prim-HE-01,01_TUMOR,54
DINOv2,11,CRC-Prim-HE-01,02_STROMA,51
DINOv2,11,CRC-Prim-HE-01,03_COMPLEX,72
DINOv2,11,CRC-Prim-HE-01,04_LYMPHO,208
DINOv2,11,CRC-Prim-HE-01,05_DEBRIS,15
DINOv2,11,CRC-Prim-HE-01,06_MUCOSA,1
DINOv2,11,CRC-Prim-HE-02,01_TUMOR,107
DINOv2,11,CRC-Prim-HE-02,02_STROMA,50
DINOv2,11,CRC-Prim-HE-02,03_COMPLEX,16
DINOv2,11,CRC-Prim-HE-02,04_LYMPHO,106
DINOv2,11,CRC-Prim-HE-02,05_DEBRIS,2
DINOv2,11,CRC-Prim-HE-02,06_MUCOSA,3
DINOv2,11,CRC-Prim-HE-03,01_TUMOR,30
DINOv2,11,CRC-Prim-HE-03,02_STROMA,170
DINOv2,11,CRC-Prim-HE-03,03_COMPLEX,132
DINOv2,11,CRC-Prim-HE-03,04_LYMPHO,4
DINOv2,11,CRC-Prim-HE-03,05_DEBRIS,111
DINOv2,11,CRC-Prim-HE-03,06_MUCOSA,111
DINOv2,11,CRC-Prim-HE-03,07_ADIPOSE,182
DINOv2,11,CRC-Prim-HE-04,01_TUMOR,62
DINOv2,11,CRC-Prim-HE-04,02_STROMA,124
DINOv2,11,CRC-Prim-HE-04,03_COMPLEX,7
DINOv2,11,CRC-Prim-HE-04,04_LYMPHO,16
DINOv2,11,CRC-Prim-HE-04,05_DEBRIS,141
DINOv2,11,CRC-Prim-HE-04,07_ADIPOSE,31
DINOv2,11,CRC-Prim-HE-05,01_TUMOR,57
DINOv2,11,CRC-Prim-HE-05,02_STROMA,27
DINOv2,11,CRC-Prim-HE-05,03_COMPLEX,90
DINOv2,11,CRC-Prim-HE-05,04_LYMPHO,159
DINOv2,11,CRC-Prim-HE-05,05_DEBRIS,32
DINOv2,11,CRC-Prim-HE-05,06_MUCOSA,152
DINOv2,11,CRC-Prim-HE-05,07_ADIPOSE,144
DINOv2,11,CRC-Prim-HE-06,01_TUMOR,38
DINOv2,11,CRC-Prim-HE-06,02_STROMA,54
DINOv2,11,CRC-Prim-HE-06,03_COMPLEX,90
DINOv2,11,CRC-Prim-HE-06,04_LYMPHO,20
DINOv2,11,CRC-Prim-HE-06,05_DEBRIS,20
DINOv2,11,CRC-Prim-HE-06,06_MUCOSA,120
DINOv2,11,CRC-Prim-HE-06,07_ADIPOSE,129
DINOv2,11,CRC-Prim-HE-06,08_EMPTY,590
DINOv2,11,CRC-Prim-HE-07,01_TUMOR,120
DINOv2,11,CRC-Prim-HE-07,02_STROMA,68
DINOv2,11,CRC-Prim-HE-07,03_COMPLEX,84
DINOv2,11,CRC-Prim-HE-07,04_LYMPHO,6
DINOv2,11,CRC-Prim-HE-07,05_DEBRIS,59
DINOv2,11,CRC-Prim-HE-07,06_MUCOSA,77
DINOv2,11,CRC-Prim-HE-07,07_ADIPOSE,89
DINOv2,11,CRC-Prim-HE-08,01_TUMOR,55
DINOv2,11,CRC-Prim-HE-08,02_STROMA,23
DINOv2,11,CRC-Prim-HE-08,03_COMPLEX,25
DINOv2,11,CRC-Prim-HE-08,04_LYMPHO,8
DINOv2,11,CRC-Prim-HE-08,05_DEBRIS,193
DINOv2,11,CRC-Prim-HE-08,06_MUCOSA,85
DINOv2,11,CRC-Prim-HE-09,01_TUMOR,77
DINOv2,11,CRC-Prim-HE-09,02_STROMA,31
DINOv2,11,CRC-Prim-HE-09,03_COMPLEX,52
DINOv2,11,CRC-Prim-HE-09,04_LYMPHO,85
