model,seed,true_class,predicted_class,count
DINOv2,11,01_TUMOR,01_TUMOR,564
DINOv2,11,01_TUMOR,02_STROMA,7
DINOv2,11,01_TUMOR,03_COMPLEX,11
DINOv2,11,01_TUMOR,04_LYMPHO,13
DINOv2,11,01_TUMOR,05_DEBRIS,23
DINOv2,11,01_TUMOR,06_MUCOSA,7
DINOv2,11,01_TUMOR,07_ADIPOSE,0
DINOv2,11,01_TUMOR,08_EMPTY,0
DINOv2,11,02_STROMA,01_TUMOR,12
DINOv2,11,02_STROMA,02_STROMA,418
DINOv2,11,02_STROMA,03_COMPLEX,144
DINOv2,11,02_STROMA,04_LYMPHO,1
DINOv2,11,02_STROMA,05_DEBRIS,47
DINOv2,11,02_STROMA,06_MUCOSA,3
DINOv2,11,02_STROMA,07_ADIPOSE,0
DINOv2,11,02_STROMA,08_EMPTY,0
DINOv2,11,03_COMPLEX,01_TUMOR,50
DINOv2,11,03_COMPLEX,02_STROMA,117
DINOv2,11,03_COMPLEX,03_COMPLEX,364
DINOv2,11,03_COMPLEX,04_LYMPHO,76
DINOv2,11,03_COMPLEX,05_DEBRIS,17
DINOv2,11,03_COMPLEX,06_MUCOSA,1
DINOv2,11,03_COMPLEX,07_ADIPOSE,0
DINOv2,11,03_COMPLEX,08_EMPTY,0
DINOv2,11,04_LYMPHO,01_TUMOR,5
DINOv2,11,04_LYMPHO,02_STROMA,8
DINOv2,11,04_LYMPHO,03_COMPLEX,152
DINOv2,11,04_LYMPHO,04_LYMPHO,449
DINOv2,11,04_LYMPHO,05_DEBRIS,10
DINOv2,11,04_LYMPHO,06_MUCOSA,1
DINOv2,11,04_LYMPHO,07_ADIPOSE,0
DINOv2,11,04_LYMPHO,08_EMPTY,0
DINOv2,11,05_DEBRIS,01_TUMOR,59
DINOv2,11,05_DEBRIS,02_STROMA,226
DINOv2,11,05_DEBRIS,03_COMPLEX,8
DINOv2,11,05_DEBRIS,04_LYMPHO,17
DINOv2,11,05_DEBRIS,05_DEBRIS,290
DINOv2,11,05_DEBRIS,06_MUCOSA,0
DINOv2,11,05_DEBRIS,07_ADIPOSE,22
DINOv2,11,05_DEBRIS,08_EMPTY,3
DINOv2,11,06_MUCOSA,01_TUMOR,23
DINOv2,11,06_MUCOSA,02_STROMA,1
DINOv2,11,06_MUCOSA,03_COMPLEX,11
DINOv2,11,06_MUCOSA,04_LYMPHO,6
DINOv2,11,06_MUCOSA,05_DEBRIS,0
DINOv2,11,06_MUCOSA,06_MUCOSA,582
DINOv2,11,06_MUCOSA,07_ADIPOSE,2
DINOv2,11,06_MUCOSA,08_EMPTY,0
DINOv2,11,07_ADIPOSE,01_TUMOR,1
DINOv2,11,07_ADIPOSE,02_STROMA,0
DINOv2,11,07_ADIPOSE,03_COMPLEX,0
DINOv2,11,07_ADIPOSE,04_LYMPHO,0
DINOv2,11,07_ADIPOSE,05_DEBRIS,6
