excluded_source_group,retained_source_groups,estimate,model_a,model_b
CRC-Prim-HE-01,9,0.062296151337247224,UNI,DINOv2
CRC-Prim-HE-02,9,0.05996607294317218,UNI,DINOv2
CRC-Prim-HE-03,9,0.060211267605633806,UNI,DINOv2
CRC-Prim-HE-04,9,0.05871400736090063,UNI,DINOv2
CRC-Prim-HE-05,9,0.05595759391564877,UNI,DINOv2
CRC-Prim-HE-06,9,0.08304138106118303,UNI,DINOv2
CRC-Prim-HE-07,9,0.05801645541472093,UNI,DINOv2
CRC-Prim-HE-08,9,0.062285838212968986,UNI,DINOv2
CRC-Prim-HE-09,9,0.05809360240446543,UNI,DINOv2
CRC-Prim-HE-10,9,0.062221755564888716,UNI,DINOv2
CRC-Prim-HE-01,9,0.0578386605783866,UNI,FrozenResNet18
CRC-Prim-HE-02,9,0.06416454622561493,UNI,FrozenResNet18
CRC-Prim-HE-03,9,0.060657276995305175,UNI,FrozenResNet18
CRC-Prim-HE-04,9,0.05722017752760337,UNI,FrozenResNet18
CRC-Prim-HE-05,9,0.06708919105784744,UNI,FrozenResNet18
CRC-Prim-HE-06,9,0.09801980198019802,UNI,FrozenResNet18
CRC-Prim-HE-07,9,0.059973315543695796,UNI,FrozenResNet18
CRC-Prim-HE-08,9,0.0655389286488831,UNI,FrozenResNet18
CRC-Prim-HE-09,9,0.06464147702876771,UNI,FrozenResNet18
CRC-Prim-HE-10,9,0.06539269214615707,UNI,FrozenResNet18
CRC-Prim-HE-01,9,0.006370950206566642,UNI,ResNet18
CRC-Prim-HE-02,9,0.00477099236641221,UNI,ResNet18
CRC-Prim-HE-03,9,0.009553990610328633,UNI,ResNet18
CRC-Prim-HE-04,9,0.008854730461138775,UNI,ResNet18
CRC-Prim-HE-05,9,0.00917262041945148,UNI,ResNet18
CRC-Prim-HE-06,9,0.034881949733434885,UNI,ResNet18
CRC-Prim-HE-07,9,0.005203468979319541,UNI,ResNet18
CRC-Prim-HE-08,9,0.008241162437649097,UNI,ResNet18
CRC-Prim-HE-09,9,0.010154572778016315,UNI,ResNet18
CRC-Prim-HE-10,9,0.010037799244015115,UNI,ResNet18
