scope,model,seed,fold,image_count,class_coverage,source_group_count,accuracy,source_macro_accuracy,balanced_accuracy,macro_f1,cross_entropy_loss,test_loss
aggregate_oof,DINOv2,11,-1,5000,8,10,0.7506,0.7556033733272022,0.7505999999999999,0.7497728556700372,0.6793960393388802,0.6793960393388802
aggregate_oof,DINOv2,23,-1,5000,8,10,0.7574,0.759817872422549,0.7574,0.7565137020775747,0.6594178926804374,0.6594178926804374
aggregate_oof,DINOv2,41,-1,5000,8,10,0.7534,0.7611699581530602,0.7534,0.7531297953869562,0.6708990781049166,0.6708990781049166
aggregate_oof,DINOv2,57,-1,5000,8,10,0.7502,0.761253348115954,0.7502,0.7458134355640722,0.6887434082903748,0.6887434082903748
aggregate_oof,DINOv2,73,-1,5000,8,10,0.7626,0.7623504450359135,0.7626,0.761909350341575,0.6666731610929509,0.6666731610929509
aggregate_oof,DINOv2,89,-1,5000,8,10,0.7562,0.7624353965031085,0.7562,0.7562325445859581,0.684970214949182,0.684970214949182
aggregate_oof,DINOv2,101,-1,5000,8,10,0.7514,0.7525569140968926,0.7514,0.748906723372545,0.6800558777242574,0.6800558777242574
aggregate_oof,DINOv2,131,-1,5000,8,10,0.752,0.7539056251129321,0.752,0.7499231801459003,0.6622011935985384,0.6622011935985384
aggregate_oof,DINOv2,151,-1,5000,8,10,0.7486,0.7569689876633419,0.7485999999999999,0.7457285646491933,0.7075609495387534,0.7075609495387534
aggregate_oof,DINOv2,181,-1,5000,8,10,0.7684,0.7669588742220951,0.7684,0.7682486656509173,0.628635009877288,0.628635009877288
aggregate_oof,FrozenResNet18,11,-1,5000,8,10,0.7762,0.7625936454312123,0.7762,0.7740560302542722,0.6943914946785545,0.6943914946785545
aggregate_oof,FrozenResNet18,23,-1,5000,8,10,0.6514,0.6995580586529463,0.6514,0.6145580497636316,0.9447831546824839,0.9447831546824839
aggregate_oof,FrozenResNet18,41,-1,5000,8,10,0.754,0.7473448723223552,0.754,0.7510961847650912,0.7293800010042012,0.7293800010042012
aggregate_oof,FrozenResNet18,57,-1,5000,8,10,0.7502,0.748105660469075,0.7502,0.7479672160630799,0.7355639398860687,0.7355639398860687
aggregate_oof,FrozenResNet18,73,-1,5000,8,10,0.7626,0.7563116945873245,0.7626,0.7606819618899077,0.7356143041029394,0.7356143041029394
aggregate_oof,FrozenResNet18,89,-1,5000,8,10,0.7664,0.7553748833135744,0.7664,0.7631907061917063,0.7093350341685466,0.7093350341685466
aggregate_oof,FrozenResNet18,101,-1,5000,8,10,0.7714,0.7582577956950793,0.7714,0.7692060063442447,0.6989151374395588,0.6989151374395588
aggregate_oof,FrozenResNet18,131,-1,5000,8,10,0.764,0.7552915124296496,0.764,0.7610340405611935,0.7049622699920597,0.7049622699920597
aggregate_oof,FrozenResNet18,151,-1,5000,8,10,0.7472,0.7354295332827837,0.7472,0.7422782815348119,0.7753055415629913,0.7753055415629913
aggregate_oof,FrozenResNet18,181,-1,5000,8,10,0.7694,0.7566843188609516,0.7694,0.7675810191685236,0.7264601581760216,0.7264601581760216
aggregate_oof,ResNet18,11,-1,5000,8,10,0.824,0.8136255564003246,0.8240000000000001,0.8258218910009395,0.65167738685759,0.65167738685759
aggregate_oof,ResNet18,23,-1,5000,8,10,0.8148,0.8094942370786524,0.8148,0.81562942017283,0.8617517246871683,0.8617517246871683
aggregate_oof,ResNet18,41,-1,5000,8,10,0.8062,0.8064677043284239,0.8061999999999999,0.8078289436061802,0.767312173697828,0.767312173697828
aggregate_oof,ResNet18,57,-1,5000,8,10,0.8348,0.8188051957423829,0.8348,0.8366741626344973,0.7347287225967044,0.7347287225967044
aggregate_oof,ResNet18,73,-1,5000,8,10,0.8056,0.8013292319291567,0.8056000000000001,0.8063551382695915,0.8185472693451639,0.8185472693451639
aggregate_oof,ResNet18,89,-1,5000,8,10,0.799,0.7992141927730876,0.7989999999999999,0.8002531423628438,0.7893900331540673,0.7893900331540673
aggregate_oof,ResNet18,101,-1,5000,8,10,0.8222,0.8156919311947132,0.8222,0.8241535693000056,0.7807943827365187,0.7807943827365187
aggregate_oof,ResNet18,131,-1,5000,8,10,0.822,0.8170799537581239,0.8220000000000001,0.8229566856754855,0.803446410298286,0.803446410298286
aggregate_oof,ResNet18,151,-1,5000,8,10,0.7158,0.7621938459951292,0.7158,0.6859558505115919,0.7579008653716506,0.7579008653716506
aggregate_oof,ResNet18,181,-1,5000,8,10,0.8208,0.8057772659134018,0.8208,0.8221579569384247,0.8404851615147724,0.8404851615147724
aggregate_oof,UNI,11,-1,5000,8,10,0.8156,0.8306219996506046,0.8156,0.8160343906684911,0.5312975032446385,0.5312975032446385
aggregate_oof,UNI,23,-1,5000,8,10,0.8384,0.839868297440176,0.8384,0.8401712718820815,0.5588027782227917,0.5588027782227917
aggregate_oof,UNI,41,-1,5000,8,10,0.8446,0.8451577189398721,0.8446,0.8458139301953891,0.5692282602275452,0.5692282602275452
aggregate_oof,UNI,57,-1,5000,8,10,0.8228,0.8335086414854098,0.8228,0.8244774586151749,0.5922879543511,0.5922879543511
aggregate_oof,UNI,73,-1,5000,8,10,0.7972,0.8200195028710592,0.7972,0.7949224554850043,0.5635022851534061,0.5635022851534061
aggregate_oof,UNI,89,-1,5000,8,10,0.7884,0.8146209411901001,0.7884,0.7852604833587619,0.6054144024666617,0.6054144024666617
aggregate_oof,UNI,101,-1,5000,8,10,0.7906,0.818965529117736,0.7906,0.7858564280143805,0.5661135480244673,0.5661135480244673
aggregate_oof,UNI,131,-1,5000,8,10,0.8358,0.8435079824159345,0.8358,0.8368429364977135,0.5586730054625593,0.5586730054625593
aggregate_oof,UNI,151,-1,5000,8,10,0.8164,0.8321108402347898,0.8164,0.8167695822987102,0.5620198016952089,0.5620198016952089
aggregate_oof,UNI,181,-1,5000,8,10,0.8192,0.8359755309109888,0.8192,0.8185059002268933,0.5657146697503181,0.5657146697503181
