cohort_name,analysis_family,model,method,perturbation,grid_label,images,mean_spearman,median_spearman,top_beats_random_fraction,class_sensitivity
random_prediction_independent,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,100,0.050448343678033386,0.0628995370112121,0.7700348432055749,all_classes
random_prediction_independent,primary_jointly_correct_true_class,ResNet18,gradcam,normalized_zero,common_14,100,0.024757154703834584,0.0153511463156133,0.20209059233449478,all_classes
random_prediction_independent,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,normalized_zero,common_14,100,0.09619961902007221,0.1100303612268804,0.9337979094076655,all_classes
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,gaussian_blur,common_14,187,0.04114655417792941,0.0444548924606937,0.7001897533206831,all_classes
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,local_mean,common_14,187,0.06603887704162219,0.062319406481843,0.7495256166982922,all_classes
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,187,0.043202709105253576,0.0568113539832176,0.7115749525616698,all_classes
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_7,187,-0.02982873384443418,-0.0294897959183673,0.7400379506641366,all_classes
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,native_16,187,0.08664943000978288,0.1038206153833515,0.8273244781783681,all_classes
selected_faithfulness,primary_jointly_correct_true_class,ResNet18,gradcam,gaussian_blur,common_14,187,0.02934007143754424,0.032498466001004,0.47248576850094876,all_classes
selected_faithfulness,primary_jointly_correct_true_class,ResNet18,gradcam,local_mean,common_14,187,0.020407367917600734,0.0292424037166604,0.3757115749525617,all_classes
selected_faithfulness,primary_jointly_correct_true_class,ResNet18,gradcam,normalized_zero,common_14,187,0.014138241038034367,0.0252069902541258,0.17267552182163187,all_classes
selected_faithfulness,primary_jointly_correct_true_class,ResNet18,gradcam,normalized_zero,common_7,187,0.06861793550901107,0.093469387755102,0.286527514231499,all_classes
selected_faithfulness,primary_jointly_correct_true_class,ResNet18,gradcam,normalized_zero,native_5,187,0.12886131837605155,0.1569230769230769,0.4648956356736243,all_classes
selected_faithfulness,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,gaussian_blur,common_14,187,0.03277976873195113,0.0534963223868227,0.8330170777988615,all_classes
selected_faithfulness,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,local_mean,common_14,187,0.11335018178196395,0.1234355202448023,0.9753320683111955,all_classes
selected_faithfulness,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,normalized_zero,common_14,187,0.12835600257289076,0.1514475372343392,0.9658444022770398,all_classes
selected_faithfulness,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,normalized_zero,common_7,187,0.18256429088367593,0.198469387755102,0.8918406072106262,all_classes
selected_faithfulness,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,normalized_zero,native_14,187,0.12835600257289076,0.1514475372343392,0.9658444022770398,all_classes
selected_training_regime,training_regime_jointly_correct_true_class,FrozenResNet18,gradcam,normalized_zero,common_14,197,0.13846350681482408,0.1406887486010729,0.08974358974358974,all_classes
selected_training_regime,training_regime_jointly_correct_true_class,ResNet18,gradcam,normalized_zero,common_14,197,0.007662483213161186,0.0190391189666026,0.1684981684981685,all_classes
random_prediction_independent,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,73,0.05636908032999784,0.0660838798619799,0.7464114832535885,exclude_adipose_empty
