excluded_source_group,retained_source_groups,estimate,cohort_name,analysis_family,target_role,method_family,perturbation,grid_label,metric,model_a,model_b
CRC-Prim-HE-01,9,0.1325766508120299,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,attribution_occlusion_spearman,FrozenResNet18,ResNet18
CRC-Prim-HE-02,9,0.13843441709200446,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,attribution_occlusion_spearman,FrozenResNet18,ResNet18
CRC-Prim-HE-03,9,0.13593191664654072,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,attribution_occlusion_spearman,FrozenResNet18,ResNet18
CRC-Prim-HE-04,9,0.13881670548276387,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,attribution_occlusion_spearman,FrozenResNet18,ResNet18
CRC-Prim-HE-05,9,0.1393772029402982,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,attribution_occlusion_spearman,FrozenResNet18,ResNet18
CRC-Prim-HE-06,9,0.07887866886178732,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,attribution_occlusion_spearman,FrozenResNet18,ResNet18
CRC-Prim-HE-07,9,0.1284995736786757,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,attribution_occlusion_spearman,FrozenResNet18,ResNet18
CRC-Prim-HE-08,9,0.13488988669787857,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,attribution_occlusion_spearman,FrozenResNet18,ResNet18
CRC-Prim-HE-09,9,0.13544551881063305,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,attribution_occlusion_spearman,FrozenResNet18,ResNet18
CRC-Prim-HE-10,9,0.1444109092295193,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,attribution_occlusion_spearman,FrozenResNet18,ResNet18
CRC-Prim-HE-01,9,6.156724849273618,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,normalized_top_minus_random_target_logit_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-02,9,6.31933489560314,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,normalized_top_minus_random_target_logit_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-03,9,5.897156482920074,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,normalized_top_minus_random_target_logit_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-04,9,6.445297512398478,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,normalized_top_minus_random_target_logit_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-05,9,5.93075374859781,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,normalized_top_minus_random_target_logit_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-06,9,4.954537482630556,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,normalized_top_minus_random_target_logit_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-07,9,6.225238495068785,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,normalized_top_minus_random_target_logit_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-08,9,6.119345880974384,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,normalized_top_minus_random_target_logit_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-09,9,5.749804391808511,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,normalized_top_minus_random_target_logit_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-10,9,5.758458308048075,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,normalized_top_minus_random_target_logit_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-01,9,1.9131496546710471,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,normalized_top_minus_random_target_margin_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-02,9,1.6777651751022946,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,normalized_top_minus_random_target_margin_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-03,9,2.068169043864765,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,normalized_top_minus_random_target_margin_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-04,9,1.7307291181540971,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,normalized_top_minus_random_target_margin_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-05,9,0.9381302105034607,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,normalized_top_minus_random_target_margin_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-06,9,2.2304404292776003,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,normalized_top_minus_random_target_margin_auc,FrozenResNet18,ResNet18
