absolute_margin_threshold,cohort_name,perturbation,grid_label,model,image_seed_rows,images,source_groups,margin_auc_mean,margin_auc_median,top_beats_random_fraction
0.0,random_prediction_independent,normalized_zero,common_14,DINOv2,287,100,10,0.1786731716969388,0.1118051772146297,0.7317073170731707
0.0,random_prediction_independent,normalized_zero,common_14,ResNet18,287,100,10,-1.0078266062782573,-0.1279945645775466,0.23344947735191637
0.0,random_prediction_independent,normalized_zero,common_14,UNI,287,100,10,0.14578812598434368,0.1287588611253269,0.9233449477351916
0.0,selected_faithfulness,gaussian_blur,common_14,DINOv2,527,187,10,0.12732475803932825,0.0587542444892589,0.683111954459203
0.0,selected_faithfulness,gaussian_blur,common_14,ResNet18,527,187,10,0.013997505250040405,-0.0142186430224747,0.43833017077798864
0.0,selected_faithfulness,gaussian_blur,common_14,UNI,527,187,10,0.033281887311632535,0.0783708678716109,0.8444022770398482
0.0,selected_faithfulness,local_mean,common_14,DINOv2,527,187,10,0.14534328404338315,0.1161766269799413,0.7685009487666035
0.0,selected_faithfulness,local_mean,common_14,ResNet18,527,187,10,-0.05824619061434187,-0.0425326843312971,0.31688804554079697
0.0,selected_faithfulness,local_mean,common_14,UNI,527,187,10,0.010992255147698035,0.1261105435717281,0.9506641366223909
0.0,selected_faithfulness,normalized_zero,common_14,DINOv2,527,187,10,0.14213609695924864,0.0964318649696099,0.6869070208728653
0.0,selected_faithfulness,normalized_zero,common_14,ResNet18,527,187,10,-0.13621252418924,-0.1478705964306718,0.18216318785578747
0.0,selected_faithfulness,normalized_zero,common_14,UNI,527,187,10,0.054027594663273566,0.1200628552913425,0.9582542694497154
0.0,selected_faithfulness,normalized_zero,common_7,DINOv2,527,187,10,0.15291233146485272,0.0627701466004319,0.6963946869070209
0.0,selected_faithfulness,normalized_zero,common_7,ResNet18,527,187,10,-0.06154756228924804,-0.0695438028315614,0.2333965844402277
0.0,selected_faithfulness,normalized_zero,common_7,UNI,527,187,10,-0.002735116287953478,0.0728195630563164,0.8823529411764706
0.0,selected_faithfulness,normalized_zero,native_14,UNI,527,187,10,0.054027594663273566,0.1200628552913425,0.9582542694497154
0.0,selected_faithfulness,normalized_zero,native_16,DINOv2,527,187,10,0.3044568797989263,0.1595025303738482,0.793168880455408
0.0,selected_faithfulness,normalized_zero,native_5,ResNet18,527,187,10,-0.03869238358297736,-0.0306260610845952,0.3605313092979127
0.1,random_prediction_independent,normalized_zero,common_14,DINOv2,287,100,10,0.1786731716969388,0.1118051772146297,0.7317073170731707
0.1,random_prediction_independent,normalized_zero,common_14,ResNet18,285,100,10,-0.10176558395817789,-0.1252913800820385,0.23508771929824562
0.1,random_prediction_independent,normalized_zero,common_14,UNI,287,100,10,0.14578812598434368,0.1287588611253269,0.9233449477351916
0.1,selected_faithfulness,gaussian_blur,common_14,DINOv2,524,185,10,0.11718859186915943,0.0581635511130813,0.683206106870229
0.1,selected_faithfulness,gaussian_blur,common_14,ResNet18,526,187,10,-0.0017897000090745664,-0.014422757670245551,0.4372623574144487
0.1,selected_faithfulness,gaussian_blur,common_14,UNI,524,186,10,0.12500843048393376,0.07848634930926876,0.8492366412213741
0.1,selected_faithfulness,local_mean,common_14,DINOv2,524,185,10,0.23955795295953025,0.11691939580977226,0.7729007633587787
0.1,selected_faithfulness,local_mean,common_14,ResNet18,526,187,10,-0.039501026571987626,-0.0423080533582851,0.31749049429657794
0.1,selected_faithfulness,local_mean,common_14,UNI,524,186,10,0.19225670613387214,0.12618413798832445,0.9541984732824428
0.1,selected_faithfulness,normalized_zero,common_14,DINOv2,524,185,10,0.23503764505766497,0.0968581014536492,0.6889312977099237
0.1,selected_faithfulness,normalized_zero,common_14,ResNet18,526,187,10,-0.11690941309344244,-0.14746236758020959,0.18250950570342206
