cohort_name,analysis_family,model,method,perturbation,grid_label,metric,alternative,images,source_groups,mean_difference,median_difference,hierarchical_ci_low,hierarchical_ci_high,proportion_top_beats_random,wilcoxon_statistic,wilcoxon_p,source_sign_flip_estimate,source_sign_flip_p,source_sign_flip_type,wilcoxon_p_holm,source_sign_flip_p_holm
random_prediction_independent,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,top_minus_random_relative_target_logit_reduction_auc,top deletion more damaging than random,100,10,0.06101090451763657,0.04816280089046468,0.0341593095922073,0.09845611722719431,0.8,4222.0,2.6921546936144704e-09,0.06527834451786015,0.0009765625,exact,1.0768618774457882e-08,0.005859375
random_prediction_independent,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,top deletion more damaging than random,100,10,0.18761159091100477,0.11087609205508997,0.04893101930390476,0.3948362896243103,0.71,3899.0,1.1547833799953633e-06,0.2170626082110299,0.0029296875,exact,3.4643501399860902e-06,0.0087890625
random_prediction_independent,primary_jointly_correct_true_class,ResNet18,gradcam,normalized_zero,common_14,top_minus_random_relative_target_logit_reduction_auc,top deletion more damaging than random,100,10,-0.07975462957926752,-0.09549414246820709,-0.10311331636867123,-0.052720558976500236,0.17,604.0,0.9999999999801271,-0.07384353483876835,1.0,exact,1.0,1.0
random_prediction_independent,primary_jointly_correct_true_class,ResNet18,gradcam,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,top deletion more damaging than random,100,10,-0.9531084000706689,-0.13119020285364869,-4.115990361105065,0.006167439831194925,0.2,921.0,0.999999982568244,-0.9569915089556957,0.9873046875,exact,1.0,1.0
random_prediction_independent,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,normalized_zero,common_14,top_minus_random_relative_target_logit_reduction_auc,top deletion more damaging than random,100,10,0.08202706156601437,0.08277794286664764,0.06080071682544614,0.10527195233217072,0.94,4737.0,1.4182046723652079e-14,0.08728042993267453,0.0009765625,exact,8.509228034191247e-14,0.005859375
random_prediction_independent,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,top deletion more damaging than random,100,10,0.1482266056449738,0.13162708231912157,0.0961794613027455,0.21207448068866233,0.94,4700.0,3.762889813702651e-14,0.15165688159583682,0.0009765625,exact,1.8814449068513257e-13,0.005859375
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,gaussian_blur,common_14,top_minus_random_relative_target_logit_reduction_auc,top deletion more damaging than random,187,10,0.035183334959471346,0.03235479408760177,0.021254120279682306,0.05032797753641233,0.6951871657754011,13457.0,1.5049531864338345e-10,0.03900604269416017,0.0009765625,exact,6.019812745735338e-10,0.005859375
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,gaussian_blur,common_14,top_minus_random_relative_target_margin_reduction_auc,top deletion more damaging than random,187,10,0.10954007147212018,0.059013230378803704,-0.11130108929030462,0.3206706752202669,0.6898395721925134,12926.0,1.1900773820644157e-08,0.117056807367096,0.1142578125,exact,3.570232146193247e-08,0.45703125
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,local_mean,common_14,top_minus_random_relative_target_logit_reduction_auc,top deletion more damaging than random,187,10,0.06690822054778715,0.0509837971786704,0.047125738050946143,0.0902079811671642,0.7700534759358288,14827.0,1.8694732454631734e-16,0.07367737335053767,0.0009765625,exact,7.477892981852694e-16,0.005859375
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,local_mean,common_14,top_minus_random_relative_target_margin_reduction_auc,top deletion more damaging than random,187,10,0.11998982543236306,0.120814247125711,-0.31441255770266496,0.4561755212148501,0.7967914438502673,14273.0,6.847786407744445e-14,0.12397079495349257,0.2197265625,exact,2.0543359223233337e-13,0.87890625
