method,target_role,class_name,correct,images,mean_spearman,mean_top_logit_auc,mean_random_logit_auc,mean_bottom_logit_auc,mean_top_minus_random_logit_auc,mean_top_minus_random_margin_auc
gradient_attention_rollout,predicted,01_TUMOR,False,6,0.17574740946749653,1.2579628775517147,1.8341870804627736,2.2256004830201466,-0.5762242029110589,-0.8137194617340961
gradient_attention_rollout,predicted,01_TUMOR,True,28,0.1567915778908491,2.5591845154762267,3.1213206278426306,3.3291451924613544,-0.5621361123664039,-0.6247054984793067
gradient_attention_rollout,predicted,02_STROMA,False,8,0.1283369458677653,1.3871286869049073,2.0007390812039376,2.315493288636208,-0.6136103942990303,-0.688782489579171
gradient_attention_rollout,predicted,02_STROMA,True,26,0.23550590091561813,1.6727543058769347,2.4292722654457277,2.7817810839185344,-0.7565179595687929,-0.962161074614582
gradient_attention_rollout,predicted,03_COMPLEX,False,8,0.20372164094064024,1.7399711675941942,2.266259264200926,2.58565901145339,-0.5262880966067314,-0.6469061434268951
gradient_attention_rollout,predicted,03_COMPLEX,True,26,0.11731086451340816,1.6200663193272282,2.309354713559151,2.6652094269028077,-0.6892883942319223,-0.9041526885846486
gradient_attention_rollout,predicted,04_LYMPHO,False,9,0.17384772990284234,1.2646547509564294,1.8352196322547067,2.2076076712873247,-0.5705648812982771,-0.7768464533819093
gradient_attention_rollout,predicted,04_LYMPHO,True,25,0.1334454519615365,2.3214764281511306,2.7039851822853085,2.9325996658802036,-0.38250875413417823,-0.35483753401041035
gradient_attention_rollout,predicted,05_DEBRIS,False,7,0.08367722611999004,2.05547998717853,2.552238955242293,2.758206105232239,-0.49675896806376313,-0.769214348654662
gradient_attention_rollout,predicted,05_DEBRIS,True,27,0.16488227167899638,1.9965927615761756,2.3989326442833296,2.615922409296036,-0.4023398827071543,-0.4846965142284279
gradient_attention_rollout,predicted,06_MUCOSA,False,3,0.09938347849877945,1.1536572684844335,1.6464044392108919,1.7098700185616809,-0.4927471707264582,-0.7052467725860575
gradient_attention_rollout,predicted,06_MUCOSA,True,31,0.2575519475872336,2.669009343859169,3.4975176622790674,3.6956217073625135,-0.8285083184198987,-1.1226350172873465
gradient_attention_rollout,predicted,07_ADIPOSE,False,5,0.3661305771820638,2.6251073914766314,2.8415839982032773,2.9991907799243926,-0.21647660672664645,-0.22501422137022004
