method,class_name,cohort_stratum,pairwise_prediction_agreement,pairwise_prediction_agreement,mean_predicted_class_spearman_same_prediction,mean_predicted_class_spearman_same_prediction,mean_common_true_class_spearman,mean_common_true_class_spearman
,,,mean,sem,mean,sem,mean,sem
gradient_attention_rollout,01_TUMOR,correct_high_confidence,1.0,0.0,0.9046072655514951,0.006671368519740932,0.9046072655514951,0.006671368519740932
gradient_attention_rollout,01_TUMOR,correct_low_confidence,0.9555555555555556,0.044444444444444446,0.9070194755969057,0.01573422124243865,0.9065761452309677,0.015733524406556936
gradient_attention_rollout,01_TUMOR,incorrect_any_model,0.9333333333333333,0.04868644955601477,0.9223541806674513,0.007186415142033616,0.9184978231823774,0.006762070225353007
gradient_attention_rollout,02_STROMA,correct_high_confidence,0.9875,0.0125,0.9495787761609916,0.005463563249877,0.9494789140438162,0.005435362143656781
gradient_attention_rollout,02_STROMA,correct_low_confidence,0.7027777777777777,0.08947598773387405,0.9276713625634232,0.010524154769137482,0.9302578313637052,0.010271206663359905
gradient_attention_rollout,02_STROMA,incorrect_any_model,0.8822222222222222,0.060727189093509854,0.9214110828477311,0.010578687989988187,0.9271337177849144,0.009740534222624676
gradient_attention_rollout,03_COMPLEX,correct_high_confidence,1.0,0.0,0.8971227602065167,0.009998778271091927,0.8971227602065167,0.009998778271091927
gradient_attention_rollout,03_COMPLEX,correct_low_confidence,0.8833333333333333,0.06755362361481478,0.8855475081481246,0.020431431611286407,0.883552639850682,0.021348985989573608
gradient_attention_rollout,03_COMPLEX,incorrect_any_model,0.9444444444444444,0.038809442659051056,0.9244039406424445,0.01025435424035639,0.9223905061178449,0.009979493452056488
gradient_attention_rollout,04_LYMPHO,correct_high_confidence,1.0,0.0,0.901315976344983,0.011286665430349646,0.901315976344983,0.011286665430349646
gradient_attention_rollout,04_LYMPHO,correct_low_confidence,0.85,0.08042545597168826,0.8867357772584128,0.017255184519056235,0.8834935288706138,0.016638809171206487
gradient_attention_rollout,04_LYMPHO,incorrect_any_model,0.9444444444444444,0.03880944265905106,0.8960522909433062,0.012662437786625676,0.9014876062620807,0.011659171458959897
gradient_attention_rollout,05_DEBRIS,correct_high_confidence,1.0,0.0,0.9462900090401904,0.007870927101981746,0.9462900090401904,0.007870927101981746
gradient_attention_rollout,05_DEBRIS,correct_low_confidence,0.8888888888888888,0.07465381597653871,0.9441189423952153,0.006837098906436785,0.9447949266912284,0.007490339621295619
gradient_attention_rollout,05_DEBRIS,incorrect_any_model,0.9444444444444444,0.038809442659051056,0.9252231760082527,0.01106591745681103,0.9225032490674261,0.013773903004222241
gradient_attention_rollout,06_MUCOSA,correct_high_confidence,1.0,0.0,0.8754757411163275,0.010342558844185029,0.8754757411163275,0.010342558844185029
gradient_attention_rollout,06_MUCOSA,correct_low_confidence,1.0,0.0,0.8894685457158265,0.017778005712335506,0.8894685457158265,0.017778005712335506
gradient_attention_rollout,06_MUCOSA,incorrect_any_model,0.9333333333333333,0.04868644955601477,0.9242091298838944,0.012283642530461015,0.9314868005252344,0.008723033820353129
gradient_attention_rollout,07_ADIPOSE,correct_high_confidence,1.0,0.0,0.9736815953766643,0.002533530436360787,0.9736815953766643,0.002533530436360787
gradient_attention_rollout,07_ADIPOSE,correct_low_confidence,0.975,0.02499999999999999,0.961448575395276,0.0045506088952695775,0.9612551387859583,0.004633714593582444
gradient_attention_rollout,07_ADIPOSE,incorrect_any_model,0.9644444444444444,0.03555555555555555,0.9508738138852916,0.008897084920126702,0.9471091206754731,0.009036539511286032
gradient_attention_rollout,08_EMPTY,correct_high_confidence,1.0,0.0,0.9598547991368876,0.003113672341637163,0.9598547991368876,0.003113672341637163
gradient_attention_rollout,08_EMPTY,correct_low_confidence,0.7888888888888889,0.0873881244984178,0.9591167807094204,0.009177456476142834,0.9664092027543806,0.007569329391866286
gradient_attention_rollout,08_EMPTY,incorrect_any_model,0.788888888888889,0.07770719901752682,0.9230184611610515,0.00700557645221265,0.9641308977059522,0.0035153320428132416
intervention_activation_patch,01_TUMOR,correct_high_confidence,1.0,0.0,0.7176313657550093,0.02424173685561507,0.7176313657550093,0.02424173685561507
intervention_activation_patch,01_TUMOR,correct_low_confidence,0.9555555555555556,0.044444444444444446,0.7555008519748198,0.03271675023268164,0.7568200335068481,0.03261885314577007
intervention_activation_patch,01_TUMOR,incorrect_any_model,0.9333333333333333,0.04868644955601477,0.7713877630856881,0.021890500585870918,0.7782263900702324,0.03153842644740001
intervention_activation_patch,02_STROMA,correct_high_confidence,0.9875,0.0125,0.7606624671897816,0.02997352000936274,0.7601518424292223,0.029825300284487655
intervention_activation_patch,02_STROMA,correct_low_confidence,0.7027777777777777,0.08947598773387405,0.7493006417669569,0.033092120511782654,0.7378427152378594,0.03291738662760514
intervention_activation_patch,02_STROMA,incorrect_any_model,0.8822222222222222,0.060727189093509854,0.6969594652772239,0.027550716865267878,0.7286509436867177,0.03770379102447205
intervention_activation_patch,03_COMPLEX,correct_high_confidence,1.0,0.0,0.7079816705382468,0.03248733276479598,0.7079816705382468,0.03248733276479598
intervention_activation_patch,03_COMPLEX,correct_low_confidence,0.8833333333333333,0.06755362361481478,0.6682038688965027,0.030070495913184798,0.6613934783737276,0.030720192350946748
intervention_activation_patch,03_COMPLEX,incorrect_any_model,0.9444444444444444,0.038809442659051056,0.754428421425908,0.0338080511957739,0.7188456404531203,0.03488190197096979
intervention_activation_patch,04_LYMPHO,correct_high_confidence,1.0,0.0,0.6643941839203418,0.03474364058251843,0.6643941839203418,0.03474364058251843
intervention_activation_patch,04_LYMPHO,correct_low_confidence,0.85,0.08042545597168826,0.7201775803886594,0.04255876248235898,0.7146163686105537,0.04021878855287674
intervention_activation_patch,04_LYMPHO,incorrect_any_model,0.9444444444444444,0.03880944265905106,0.6660050791030653,0.023113525667761627,0.6932011366986952,0.040161656156248574
intervention_activation_patch,05_DEBRIS,correct_high_confidence,1.0,0.0,0.6503713370349387,0.03052875870296763,0.6503713370349387,0.03052875870296763
intervention_activation_patch,05_DEBRIS,correct_low_confidence,0.8888888888888888,0.07465381597653871,0.6754830319331837,0.021300459992815015,0.666091924902057,0.024001440970664808
intervention_activation_patch,05_DEBRIS,incorrect_any_model,0.9444444444444444,0.038809442659051056,0.6746494223158914,0.03230512626070109,0.6837318467570441,0.01386059325294406
intervention_activation_patch,06_MUCOSA,correct_high_confidence,1.0,0.0,0.8630085178604747,0.01227027534291563,0.8630085178604747,0.01227027534291563
intervention_activation_patch,06_MUCOSA,correct_low_confidence,1.0,0.0,0.8371281065433763,0.01248957003712039,0.8371281065433763,0.01248957003712039
intervention_activation_patch,06_MUCOSA,incorrect_any_model,0.9333333333333333,0.04868644955601477,0.8653252227666954,0.015589602173577634,0.862074456491543,0.01957235409813149
intervention_activation_patch,07_ADIPOSE,correct_high_confidence,1.0,0.0,0.8075224034212917,0.013496174321146045,0.8075224034212917,0.013496174321146045
intervention_activation_patch,07_ADIPOSE,correct_low_confidence,0.975,0.02499999999999999,0.6847284840186151,0.05676665690146541,0.6850576361441215,0.056645806354627494
intervention_activation_patch,07_ADIPOSE,incorrect_any_model,0.9644444444444444,0.03555555555555555,0.6857891004309741,0.06578453175132862,0.6647139293510576,0.057358276007778985
intervention_activation_patch,08_EMPTY,correct_high_confidence,1.0,0.0,0.3970052239569573,0.017378473360983544,0.3970052239569573,0.017378473360983544
intervention_activation_patch,08_EMPTY,correct_low_confidence,0.7888888888888889,0.0873881244984178,0.4787501135990645,0.015399720953310015,0.4814976662607313,0.02419440592548463
intervention_activation_patch,08_EMPTY,incorrect_any_model,0.788888888888889,0.07770719901752682,0.5365017702161252,0.014982090992774593,0.5537066585552999,0.01942662391837319
